ctuid_s,ctuid_t,w,f
3050003.01,3050003.01,1.0,1
3050003.03,3050003.03,0.988452982719896,4
3050003.03,3050011.00,0.011547017280103992,4
3050003.04,3050003.04,0.978153201533585,4
3050003.04,3050008.00,0.021846798466415015,4
3050004.00,3050004.00,1.0,1
3050005.00,3050005.00,1.0,4
3050006.00,3050006.00,1.0,4
3050007.00,3050005.00,0.026888060519490053,4
3050007.00,3050007.00,0.97311193948051,4
3050008.00,3050008.00,1.0,4
3050009.00,3050009.00,1.0,4
3050010.01,3050010.01,1.0,1
3050010.02,3050009.00,0.0023280880177969166,4
3050010.02,3050010.02,0.9976719119822031,4
3050011.00,3050011.00,0.9956565544716648,4
3050011.00,3050016.01,0.00434344552833518,4
3050012.00,3050006.00,0.004299784662537136,4
3050012.00,3050012.00,0.9924429861793765,4
3050012.00,3050013.00,0.003257229158086337,4
3050013.00,3050013.00,1.0,4
3050014.02,3050014.02,0.9788625557436622,4
3050014.02,3050014.04,0.021137444256337796,4
3050014.03,3050014.03,1.0,1
3050014.04,3050014.04,1.0,4
3050015.00,3050015.01,0.007185354923214093,3
3050015.00,3050015.02,0.9928146450767859,3
3050016.01,3050016.01,1.0,4
3050016.02,3050016.02,1.0,1
3050100.00,3050100.00,1.0,4
3050101.00,3050101.00,1.0,1
3050102.01,3050102.01,1.0,1
3050102.02,3050102.02,1.0,1
3050110.00,3050110.00,1.0,4
3050200.00,3050200.00,1.0,1
3100001.01,3100001.01,1.0,1
3100001.02,3100001.02,1.0,1
3100002.01,3100002.01,1.0,1
3100002.02,3100002.02,1.0,1
3100003.00,3100003.00,1.0,1
3100004.00,3100004.00,1.0,1
3100005.00,3100005.00,1.0,1
3100006.00,3100006.00,0.888702313590484,4
3100006.00,3100007.00,0.11129768640951598,4
3100007.00,3100007.00,1.0,4
3100008.00,3100008.00,1.0,4
3100009.00,3100008.00,0.1448944715566755,4
3100009.00,3100009.00,0.8551055284433244,4
3100010.00,3100009.00,0.13256582754175397,4
3100010.00,3100010.00,0.867434172458246,4
3100011.00,3100011.00,1.0,1
3100012.00,3100012.00,1.0,4
3100013.00,3100012.00,0.02220651445828959,4
3100013.00,3100013.00,0.9777934855417104,4
3100014.00,3100014.00,1.0,1
3100015.00,3100015.00,1.0,1
3100016.00,3100016.00,1.0,1
3100017.00,3100017.00,1.0,1
3100018.00,3100018.00,1.0,4
3100019.00,3100018.00,0.03461983821556679,4
3100019.00,3100019.00,0.5723737126561106,4
3100019.00,3100020.00,0.3930064491283226,4
3100020.00,3100020.00,1.0,4
3100021.00,3100021.00,1.0,1
3100022.00,3100022.00,1.0,1
3100023.00,3100023.00,1.0,1
3100024.00,3100024.00,1.0,1
3100025.01,3100025.01,0.9954728861247852,4
3100025.01,3100025.02,0.00452711387521475,4
3100025.02,3100025.02,1.0,4
3100026.00,3100026.00,1.0,1
3100027.01,3100027.01,1.0,1
3100027.02,3100027.02,1.0,1
3100028.00,3100028.00,1.0,1
3100029.00,3100029.00,1.0,1
3100100.01,3100100.01,1.0,1
3100100.02,3100100.03,0.6392545919377025,3
3100100.02,3100100.04,0.3607454080622975,3
3100101.00,3100101.00,1.0,1
3100102.00,3100102.00,1.0,1
3100110.01,3100110.01,1.0,1
3100110.02,3100110.02,1.0,4
3100111.00,3100111.00,1.0,1
3100112.00,3100112.00,1.0,1
3100120.02,3100110.02,0.005341254875057093,4
3100120.02,3100120.02,0.9946587451249429,4
3100120.03,3100120.03,1.0,1
3100120.04,3100120.04,1.0,1
3100130.01,3100130.01,1.0,1
3100130.02,3100130.03,0.08653275640561581,3
3100130.02,3100130.04,0.9134672435943841,3
3100131.00,3100131.01,0.46963698962582295,4
3100131.00,3100131.02,0.530363010374177,4
3200001.00,3200001.00,1.0,1
3200002.00,3200002.00,1.0,1
3200003.00,3200003.00,1.0,1
3200004.00,3200004.00,1.0,1
3200005.00,3200005.00,1.0,1
3200006.00,3200006.00,1.0,1
3200007.00,3200007.00,1.0,4
3200008.00,3200008.00,1.0,4
3200009.00,3200009.00,1.0,1
3200010.00,3200010.00,1.0,1
3200011.00,3200011.00,1.0,1
3200012.00,3200012.00,1.0,1
3200013.00,3200013.00,1.0,1
3200014.00,3200014.00,1.0,1
3200015.00,3200015.00,1.0,1
3200016.00,3200016.00,1.0,1
3200017.00,3200017.00,1.0,1
3200018.00,3200018.00,1.0,1
3200019.00,3200019.00,1.0,1
3200020.00,3200020.00,1.0,4
3200021.00,3200021.00,1.0,1
3200022.00,3200007.00,0.0006491901808500226,4
3200022.00,3200020.00,0.026323162504513026,4
3200022.00,3200022.00,0.973027647314637,4
3200023.00,3200008.00,0.0029953084812394987,4
3200023.00,3200023.00,0.9970046915187605,4
3200024.00,3200024.00,1.0,1
3200025.00,3200025.00,1.0,1
3200026.00,3200026.00,1.0,1
3200027.00,3200027.00,1.0,1
4080001.00,4080001.00,1.0,1
4080002.01,4080002.01,1.0,1
4080002.02,4080002.02,1.0,1
4080003.01,4080003.01,0.9889538342062725,4
4080003.01,4080007.00,0.011046165793727554,4
4080003.02,4080003.02,1.0,4
4080004.00,4080003.02,0.011995441712118197,4
4080004.00,4080004.00,0.9880045582878818,4
4080005.00,4080005.00,1.0,1
4080006.00,4080006.00,1.0,1
4080007.00,4080007.00,1.0,4
4080008.00,4080008.00,1.0,1
4080100.00,4080100.00,1.0,1
4080101.00,4080101.00,1.0,1
4080102.00,4080102.00,1.0,1
4080103.00,4080103.00,1.0,4
4080104.00,4080104.00,0.9988679552241753,4
4080104.00,4080111.03,0.0011320447758247265,4
4080105.00,4080105.00,1.0,1
4080106.00,4080106.00,1.0,1
4080107.02,4080107.02,1.0,1
4080107.03,4080107.03,1.0,1
4080107.04,4080107.04,1.0,1
4080108.00,4080108.00,1.0,1
4080109.00,4080109.00,1.0,1
4080110.00,4080110.00,1.0,1
4080111.02,4080111.03,0.372498626258608,4
4080111.02,4080111.04,0.6275013737413919,4
4080120.01,4080103.00,4.4985377920599766e-05,4
4080120.01,4080120.01,0.9999550146220795,4
4080120.02,4080120.03,0.67416317173646,3
4080120.02,4080120.04,0.14930199647946302,3
4080120.02,4080120.05,0.176534831784077,3
4080130.00,4080130.00,1.0,4
4080131.00,4080131.00,1.0,1
4080132.00,4080132.00,1.0,1
4080133.00,4080130.00,0.009148105714410066,4
4080133.00,4080133.00,0.99085189428559,4
4080140.00,4080140.00,1.0,1
4080150.00,4080150.00,1.0,1
4080160.00,4080160.00,1.0,1
4080161.00,4080161.00,1.0,1
4080162.00,4080162.00,1.0,4
4080163.00,4080162.00,0.0014724125441430023,4
4080163.00,4080163.00,0.998527587455857,4
4080164.00,4080164.00,1.0,1
4080165.00,4080165.00,1.0,1
4080166.00,4080166.00,1.0,1
4080167.00,4080167.00,1.0,1
4080168.00,4080168.00,1.0,1
4210001.01,4210001.01,1.0,1
4210001.02,4210001.02,1.0,1
4210002.00,4210002.00,1.0,1
4210003.00,4210003.00,1.0,1
4210004.00,4210004.00,1.0,1
4210005.00,4210005.00,1.0,1
4210006.00,4210006.00,1.0,1
4210007.00,4210007.00,1.0,1
4210008.00,4210008.00,1.0,1
4210009.00,4210009.00,1.0,1
4210010.00,4210010.00,1.0,1
4210011.00,4210011.00,1.0,1
4210012.00,4210012.00,1.0,4
4210013.00,4210012.00,0.05727497520626592,4
4210013.00,4210013.00,0.9427250247937341,4
4210014.00,4210014.00,1.0,1
4210015.00,4210015.00,1.0,1
4210016.00,4210016.00,1.0,1
4210017.00,4210017.00,1.0,1
4210018.00,4210018.00,1.0,1
4210019.00,4210019.00,1.0,1
4210020.00,4210020.00,1.0,1
4210021.00,4210021.00,0.9931590186459203,4
4210021.00,4210032.00,0.006840981354079698,4
4210022.00,4210022.00,1.0,1
4210023.00,4210023.00,1.0,1
4210024.00,4210024.00,1.0,1
4210025.00,4210025.00,1.0,1
4210026.00,4210026.00,1.0,1
4210027.00,4210027.00,1.0,1
4210028.00,4210028.00,1.0,1
4210029.00,4210029.00,1.0,1
4210030.00,4210030.00,1.0,1
4210031.00,4210031.00,1.0,1
4210032.00,4210032.00,1.0,4
4210033.01,4210033.01,1.0,1
4210033.02,4210033.02,1.0,1
4210034.00,4210034.00,1.0,1
4210035.00,4210035.00,1.0,1
4210036.00,4210036.00,1.0,1
4210037.00,4210037.00,1.0,1
4210038.01,4210038.01,1.0,1
4210038.02,4210038.02,1.0,1
4210039.01,4210039.01,1.0,1
4210039.02,4210039.02,1.0,1
4210040.01,4210040.01,1.0,1
4210040.03,4210040.03,1.0,1
4210040.04,4210040.04,1.0,1
4210041.02,4210041.02,1.0,1
4210041.03,4210041.03,1.0,1
4210041.04,4210041.04,1.0,1
4210041.05,4210041.05,1.0,1
4210041.06,4210041.06,1.0,1
4210041.07,4210041.07,1.0,1
4210041.08,4210041.08,1.0,1
4210041.09,4210041.09,1.0,1
4210100.00,4210100.00,1.0,1
4210101.00,4210101.00,1.0,1
4210102.00,4210102.00,1.0,1
4210103.00,4210103.00,1.0,1
4210110.00,4210110.00,1.0,1
4210111.00,4210111.00,1.0,1
4210112.01,4210112.01,1.0,1
