,ctuid,x,y,ea_pop,ea_dwe,letter
0,5350011.00,-79.3999436660823,43.64417136610072,263.0,93.5,A
1,5350011.00,-79.39245789463106,43.64777597566578,244.0,102.0,B
2,5350011.00,-79.4001436660823,43.643971366100715,263.0,93.5,A
3,5350011.00,-79.39265789463107,43.647575975665774,244.0,102.0,B
