year,n,area
2021,6247,233650.83238251085
2016,5721,228091.00868105286
2011,5452,150345.8878549066
2006,5076,147252.57447537294
2001,4798,135496.76213802292
1996,4223,97510.68855626494
1991,4068,81849.36184969342
1986,3776,84240.90105106877
1981,3297,52877.28042561441
1976,2687,44353.82148532334
1971,2449,32417.133781580433
1966,1811,13634.706377131588
1961,1588,12993.559309268836
1956,1290,8850.216628317641
1951,1003,5641.271602575946
