source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,1.0,1.0
0010002.00,0010002.00,1.0,1.0
0010003.00,0010003.01,0.5141567,0.53535991
0010003.00,0010003.02,0.4858433,0.46464009
0010004.00,0010004.00,1.0,1.0
0010005.01,0010005.01,1.0,1.0
0010005.02,0010005.02,1.0,1.0
0010006.00,0010006.00,1.0,1.0
0010007.00,0010007.00,0.94920143,0.95069275
0010007.00,0010010.00,0.05079857,0.04930725
0010008.00,0010008.00,1.0,1.0
0010009.00,0010009.00,1.0,1.0
0010010.00,0010010.00,1.0,1.0
0010011.00,0010011.00,1.0,1.0
0010012.00,0010012.00,1.0,1.0
0010013.00,0010013.00,1.0,1.0
0010014.00,0010014.00,1.0,1.0
0010015.01,0010015.01,1.0,1.0
0010015.02,0010015.02,0.50290978,0.51908483
0010015.02,0010015.04,0.49709022,0.48091517
0010015.03,0010015.03,1.0,1.0
0010016.00,-1,0.0,0.0
0010016.00,0010016.00,1.0,1.0
0010100.01,0010100.01,1.0,1.0
0010100.02,-1,0.0,0.0
0010100.02,0010100.02,1.0,1.0
0010170.00,0010170.00,1.0,1.0
0010171.00,0010171.00,1.0,1.0
0010172.00,0010172.01,0.31057872,0.30736286
0010172.00,0010172.02,0.3245544,0.33455059
0010172.00,0010172.03,0.16833302,0.16668363
0010172.00,0010172.04,0.19653385,0.19140292
0010200.01,0010200.01,1.0,1.0
0010200.02,0010200.02,0.53489586,0.53125695
0010200.02,0010200.03,0.46510414,0.46874305
0010201.00,-1,0.0,0.0
0010201.00,0010201.00,1.0,1.0
0010202.00,0010202.00,1.0,1.0
0010300.00,-1,0.0,0.0
0010300.00,0010300.00,0.838269,0.83991486
0010300.00,0010303.00,0.161731,0.16008514
0010301.01,-1,0.0,0.0
0010301.01,0010301.01,1.0,1.0
0010301.02,0010301.02,1.0,1.0
0010302.00,-1,0.0,0.0
0010302.00,0010302.00,1.0,1.0
0010303.00,-1,0.0,0.0
0010303.00,0010303.00,1.0,1.0
2050001.00,2050001.00,1.0,1.0
2050002.00,2050002.00,1.0,1.0
2050003.00,2050003.00,1.0,1.0
2050004.00,2050004.01,0.39852528,0.3473072
2050004.00,2050004.02,0.60147472,0.6526928
2050005.00,2050005.00,1.0,1.0
2050006.00,2050006.00,1.0,1.0
2050007.00,2050007.00,1.0,1.0
2050008.00,2050008.00,1.0,1.0
2050009.00,2050009.00,1.0,1.0
2050010.00,2050010.00,1.0,1.0
2050011.00,2050011.00,1.0,1.0
2050012.00,2050012.00,1.0,1.0
2050013.00,2050013.00,1.0,1.0
2050014.00,2050014.00,1.0,1.0
2050015.00,2050014.00,0.08218168,0.07573359
2050015.00,2050015.00,0.91781832,0.92426641
2050016.00,-1,0.0,0.0
2050016.00,2050016.00,1.0,1.0
2050017.00,2050017.00,0.84825336,0.86000659
2050017.00,2050142.00,0.15174664,0.13999341
2050018.00,2050018.00,1.0,1.0
2050019.00,2050019.00,1.0,1.0
2050020.00,2050020.00,1.0,1.0
2050021.00,2050021.00,1.0,1.0
2050022.00,2050022.00,1.0,1.0
2050023.00,2050023.00,1.0,1.0
2050024.00,2050024.00,1.0,1.0
2050025.01,2050025.01,0.94994156,0.95035398
2050025.01,2050025.02,0.05005844,0.04964602
2050025.02,2050025.02,0.53957107,0.50583935
2050025.02,2050025.03,0.46042893,0.49416065
2050026.00,2050026.00,1.0,1.0
2050027.00,2050027.00,0.95335178,0.95335178
2050027.00,2050142.00,0.04664822,0.04664822
2050100.00,2050100.00,1.0,1.0
2050101.00,2050101.00,1.0,1.0
2050102.00,2050102.00,1.0,1.0
2050103.00,2050103.00,1.0,1.0
2050104.01,2050104.01,1.0,1.0
2050104.02,2050104.02,1.0,1.0
2050105.01,2050105.01,1.0,1.0
2050105.02,2050105.02,1.0,1.0
2050106.00,-1,0.0,0.0
2050106.00,2050106.00,1.0,1.0
2050107.00,2050107.00,1.0,1.0
2050108.00,2050108.00,1.0,1.0
2050109.00,2050109.00,1.0,1.0
2050110.00,2050110.00,1.0,1.0
2050111.00,2050111.00,1.0,1.0
2050112.00,2050112.00,1.0,1.0
2050113.00,2050113.00,1.0,1.0
2050114.00,2050114.00,1.0,1.0
2050120.00,2050120.00,1.0,1.0
2050121.01,2050121.01,1.0,1.0
2050121.02,-1,0.0,0.0
2050121.02,2050121.02,0.73599371,0.72941278
2050121.02,2050121.03,0.26400629,0.27058722
2050122.00,-1,0.0,0.0
2050122.00,2050105.02,0.05205163,0.05017808
2050122.00,2050122.01,0.2689603,0.26844378
2050122.00,2050122.02,0.36548052,0.36746734
2050122.00,2050122.03,0.31350756,0.3139108
2050123.00,-1,0.0,0.0
2050123.00,2050123.01,0.27364296,0.26169205
2050123.00,2050123.02,0.2471036,0.25463369
2050123.00,2050123.03,0.47925343,0.48367426
2050130.00,-1,0.0,0.0
2050130.00,2050130.01,0.57118039,0.54860626
2050130.00,2050130.02,0.42881961,0.45139374
2050131.01,2050131.01,0.44237451,0.44037058
2050131.01,2050131.02,0.04419109,0.04386783
2050131.01,2050131.05,0.51343439,0.51576158
2050131.02,2050131.02,0.63927744,0.64402792
2050131.02,2050131.04,0.36072256,0.35597208
2050131.03,2050131.03,1.0,1.0
2050132.00,-1,0.0,0.0
2050132.00,2050132.01,0.46037987,0.45126746
2050132.00,2050132.02,0.53962013,0.54873254
2050140.00,-1,0.0,0.0
2050140.00,2050140.00,1.0,1.0
2050141.00,-1,0.0,0.0
2050141.00,2050141.00,1.0,1.0
2050142.00,-1,0.0,0.0
2050142.00,2050142.00,1.0,1.0
2050143.00,-1,0.0,0.0
2050143.00,2050143.00,1.0,1.0
2050150.00,-1,0.0,0.0
2050150.00,2050150.01,0.58888762,0.54224274
2050150.00,2050150.02,0.41111238,0.45775726
2050151.00,-1,0.0,0.0
2050151.00,2050151.00,1.0,1.0
2050152.00,-1,0.0,0.0
2050152.00,2050152.00,1.0,1.0
3050001.00,3050001.00,0.87982269,0.87852204
3050001.00,3050002.00,0.04605086,0.05017561
3050001.00,3050006.00,0.07412645,0.07130235
3050002.00,3050002.00,1.0,1.0
3050003.00,3050003.01,0.40057853,0.40699374
3050003.00,3050003.02,0.59942147,0.59300626
3050004.00,3050004.00,1.0,1.0
3050005.00,3050005.00,1.0,1.0
3050006.00,3050006.00,1.0,1.0
3050007.00,3050007.00,1.0,1.0
3050008.00,3050008.00,1.0,1.0
3050009.00,3050009.00,0.94395215,0.94472067
3050009.00,3050010.01,0.05604785,0.05527933
3050010.00,3050010.01,0.32210347,0.33813698
3050010.00,3050010.02,0.67789653,0.66186302
3050011.00,-1,0.0,0.0
3050011.00,3050011.00,1.0,1.0
3050012.00,3050012.00,1.0,1.0
3050013.00,3050013.00,1.0,1.0
3050014.00,3050014.00,1.0,1.0
3050015.00,-1,0.0,0.0
3050015.00,3050015.00,1.0,1.0
3050016.00,-1,0.0,0.0
3050016.00,3050016.00,1.0,1.0
3050100.00,-1,0.0,0.0
3050100.00,3050100.00,1.0,1.0
3050101.00,3050101.00,0.90658764,0.89863888
3050101.00,3050102.01,0.09341236,0.10136112
3050102.00,3050102.01,0.57587318,0.58676521
3050102.00,3050102.02,0.42412682,0.41323479
3100001.01,3100001.01,1.0,1.0
3100001.02,3100001.02,1.0,1.0
3100002.01,3100002.01,1.0,1.0
3100002.02,3100002.02,1.0,1.0
3100003.00,3100003.00,1.0,1.0
3100004.00,3100002.02,0.13334385,0.13380803
3100004.00,3100004.00,0.86665615,0.86619197
3100005.00,3100005.00,1.0,1.0
3100006.00,3100005.00,0.07418112,0.06933205
3100006.00,3100006.00,0.83992208,0.84103766
3100006.00,3100007.00,0.0858968,0.08963028
3100007.00,3100006.00,0.0462436,0.04405863
3100007.00,3100007.00,0.6345153,0.65144135
3100007.00,3100019.00,0.31924109,0.30450002
3100008.00,3100006.00,0.12722415,0.11980589
3100008.00,3100008.00,0.87277585,0.88019411
3100009.00,3100008.00,0.18680846,0.17419214
3100009.00,3100009.00,0.76020587,0.76930952
3100009.00,3100011.00,0.05298567,0.05649834
3100010.00,3100009.00,0.1161897,0.12243602
3100010.00,3100010.00,0.8838103,0.87756398
3100011.00,3100007.00,0.07826892,0.06848718
3100011.00,3100011.00,0.92173108,0.93151282
3100012.00,3100012.00,0.95608948,0.95558408
3100012.00,3100014.00,0.04391052,0.04441592
3100013.00,3100013.00,1.0,1.0
3100014.00,3100014.00,1.0,1.0
3100015.00,3100015.00,1.0,1.0
3100016.00,3100016.00,1.0,1.0
3100017.00,3100017.00,1.0,1.0
3100018.00,3100017.00,0.04792993,0.04792993
3100018.00,3100018.00,0.85022798,0.85022798
3100018.00,3100022.00,0.10184209,0.10184209
3100019.00,3100019.00,0.89794042,0.89739991
3100019.00,3100020.00,0.10205958,0.10260009
3100020.00,3100020.00,0.79691465,0.78506934
3100020.00,3100021.00,0.08659993,0.0874144
3100020.00,3100027.02,0.11648542,0.12751627
3100021.00,3100021.00,0.87867098,0.8833759
3100021.00,3100024.00,0.12132902,0.1166241
3100022.00,3100022.00,1.0,1.0
3100023.00,3100023.00,0.92700376,0.930784
3100023.00,3100024.00,0.07299624,0.069216
3100024.00,3100024.00,1.0,1.0
3100025.01,3100025.01,1.0,1.0
3100025.02,3100025.02,1.0,1.0
3100026.00,3100026.00,1.0,1.0
3100027.01,3100027.01,1.0,1.0
3100027.02,3100027.02,1.0,1.0
3100028.00,3100028.00,1.0,1.0
3100029.00,3100029.00,1.0,1.0
3100100.00,-1,0.0,0.0
3100100.00,3100100.00,0.99793785,0.99785945
3100100.00,3100101.00,0.00206215,0.00214055
3100110.00,3100110.00,1.0,1.0
3100120.00,-1,0.0,0.0
3100120.00,3100120.00,1.0,1.0
3100130.00,-1,0.0,0.0
3100130.00,3100130.01,0.61787426,0.63972713
3100130.00,3100130.02,0.37949844,0.35751628
3100130.00,3100131.00,0.0026273,0.00275658
4080001.00,4080001.00,1.0,1.0
4080002.00,4080002.00,1.0,1.0
4080003.00,4080003.00,1.0,1.0
4080004.00,4080004.00,1.0,1.0
4080005.00,4080005.00,1.0,1.0
4080006.00,4080006.00,1.0,1.0
4080007.00,4080007.00,1.0,1.0
4080008.00,4080008.00,1.0,1.0
4080100.00,4080100.00,0.94415832,0.94723358
4080100.00,4080111.00,0.05584168,0.05276642
4080101.00,4080101.00,1.0,1.0
4080102.00,4080102.00,1.0,1.0
4080103.00,-1,0.0,0.0
4080103.00,4080103.00,1.0,1.0
4080104.00,4080104.00,1.0,1.0
4080105.00,4080105.00,1.0,1.0
4080106.00,4080106.00,1.0,1.0
4080107.00,4080107.00,0.89811953,0.89494231
4080107.00,4080111.00,0.10188047,0.10505769
4080108.00,4080108.00,1.0,1.0
4080109.00,4080109.00,1.0,1.0
4080110.00,4080110.00,1.0,1.0
4080111.00,-1,0.0,0.0
4080111.00,4080111.00,1.0,1.0
4080120.00,-1,0.0,0.0
