source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,1.0,1.0
0010002.00,0010002.00,1.0,1.0
0010003.01,0010003.01,1.0,1.0
0010003.02,0010003.02,1.0,1.0
0010004.00,0010004.00,0.99999968,0.99999918
0010004.00,0010202.01,3.2e-07,8.2e-07
0010005.01,0010005.01,1.0,1.0
0010005.02,0010005.02,1.0,1.0
0010006.00,0010006.00,1.0,1.0
0010007.00,0010007.00,1.0,1.0
0010008.00,0010008.00,1.0,1.0
0010009.00,0010008.00,0.14820749,0.09961045
0010009.00,0010009.00,0.85179251,0.90038955
0010010.00,0010010.00,1.0,1.0
0010011.00,0010011.00,1.0,1.0
0010012.00,0010012.00,1.0,1.0
0010013.00,0010013.00,1.0,1.0
0010014.00,0010014.00,1.0,1.0
0010015.01,0010015.01,1.0,1.0
0010015.02,0010015.01,0.05876692,0.07612568
0010015.02,0010015.02,0.94123308,0.92387432
0010015.03,0010014.00,0.04385525,0.07656228
0010015.03,0010015.03,0.95614475,0.92343772
0010015.04,0010015.04,1.0,1.0
0010016.00,0010016.00,1.0,1.0
0010017.00,0010017.00,0.28859131,0.26939274
0010017.00,0010202.03,0.71140869,0.73060726
0010100.01,0010100.01,1.0,1.0
0010100.02,0010100.03,0.59656976,0.60527434
0010100.02,0010100.04,0.40343024,0.39472566
0010110.00,0010110.00,1.0,1.0
0010170.01,0010170.01,0.93239087,0.92879191
0010170.01,0010171.00,0.06760913,0.07120809
0010170.02,0010170.02,0.99511939,0.99522703
0010170.02,0010202.01,0.00488061,0.00477297
0010171.00,0010171.00,1.0,1.0
0010172.01,0010172.05,0.62075101,0.60563739
0010172.01,0010172.06,0.37924899,0.39436261
0010172.02,0010172.02,1.0,1.0
0010172.03,0010172.02,0.0849354,0.08414672
0010172.03,0010172.03,0.9150646,0.91585328
0010172.04,0010172.04,0.97593289,0.97840409
0010172.04,0010202.01,0.02406711,0.02159591
0010200.01,0010200.01,0.89546307,0.89007033
0010200.01,0010200.02,0.10453693,0.10992967
0010200.02,0010200.02,1.0,1.0
0010200.03,0010200.03,1.0,1.0
0010201.00,0010201.00,1.0,1.0
0010202.00,0010202.01,0.0247285,0.0261438
0010202.00,0010202.02,0.20306371,0.20922489
0010202.00,0010202.03,0.77220779,0.76463131
0010300.00,0010300.00,1.0,1.0
0010301.01,0010301.01,1.0,1.0
0010301.02,0010301.01,0.04897998,0.04757338
0010301.02,0010301.02,0.95102002,0.95242662
0010302.00,0010302.00,1.0,1.0
2050001.00,2050001.00,0.9453327,0.94416639
2050001.00,2050002.00,0.0546673,0.05583361
2050002.00,2050002.00,0.94110232,0.94110232
2050002.00,2050014.00,0.05889768,0.05889768
2050003.00,2050003.00,1.0,1.0
2050004.01,2050004.01,1.0,1.0
2050004.02,2050004.02,1.0,1.0
2050005.00,2050005.00,1.0,1.0
2050006.00,2050006.00,1.0,1.0
2050007.00,2050007.00,1.0,1.0
2050008.00,2050008.00,1.0,1.0
2050009.00,2050009.00,1.0,1.0
2050010.00,2050010.00,1.0,1.0
2050011.00,2050011.00,1.0,1.0
2050012.00,2050012.00,1.0,1.0
2050013.00,2050013.00,1.0,1.0
2050014.00,2050014.00,1.0,1.0
2050015.00,2050015.00,1.0,1.0
2050016.00,2050016.00,1.0,1.0
2050017.00,2050017.00,1.0,1.0
2050018.00,2050018.00,1.0,1.0
2050019.00,2050019.00,1.0,1.0
2050020.00,2050020.00,1.0,1.0
2050021.00,2050021.00,1.0,1.0
2050022.00,2050022.00,1.0,1.0
2050023.00,2050023.00,1.0,1.0
2050024.00,2050024.00,1.0,1.0
2050025.01,2050025.01,1.0,1.0
2050025.02,2050025.02,1.0,1.0
2050025.03,2050025.03,1.0,1.0
2050026.00,2050026.01,0.57833654,0.57267858
2050026.00,2050026.02,0.42166346,0.42732142
2050027.00,2050027.00,1.0,1.0
2050100.00,2050100.00,1.0,1.0
2050101.00,2050101.00,1.0,1.0
2050102.00,2050102.00,1.0,1.0
2050103.00,2050103.00,1.0,1.0
2050104.01,2050104.01,1.0,1.0
2050104.02,2050104.02,1.0,1.0
2050105.01,2050105.01,1.0,1.0
2050105.02,2050105.02,1.0,1.0
2050106.00,2050106.01,0.47832978,0.50454215
2050106.00,2050106.02,0.52167022,0.49545785
2050107.00,2050107.00,1.0,1.0
2050108.00,2050108.00,1.0,1.0
2050109.00,2050109.00,1.0,1.0
2050110.00,2050110.00,1.0,1.0
2050111.00,2050111.00,1.0,1.0
2050112.00,2050112.00,1.0,1.0
2050113.00,2050113.00,1.0,1.0
2050114.00,2050114.00,1.0,1.0
2050120.00,2050120.00,1.0,1.0
2050121.01,2050121.05,0.55569579,0.5681076
2050121.01,2050121.06,0.44430421,0.4318924
2050121.02,2050121.02,1.0,1.0
2050121.03,2050121.03,1.0,1.0
2050121.04,2050121.02,0.06066849,0.05630992
2050121.04,2050121.07,0.43415418,0.45683874
2050121.04,2050121.08,0.50517733,0.48685135
2050122.01,2050122.01,1.0,1.0
2050122.02,2050122.01,0.05063757,0.05015071
2050122.02,2050122.02,0.94936243,0.94984929
2050122.03,2050122.02,0.05783996,0.05809627
2050122.03,2050122.03,0.94216004,0.94190373
2050123.01,2050123.01,1.0,1.0
2050123.02,2050123.02,1.0,1.0
2050123.03,2050123.04,0.33251025,0.35966413
2050123.03,2050123.05,0.33543995,0.33164098
2050123.03,2050123.06,0.3320498,0.30869489
2050130.01,2050130.01,1.0,1.0
2050130.02,2050130.02,1.0,1.0
2050131.01,2050131.01,1.0,1.0
2050131.02,2050131.02,1.0,1.0
2050131.03,2050131.03,1.0,1.0
2050131.04,2050131.04,1.0,1.0
2050131.05,2050131.05,1.0,1.0
2050132.01,2050132.03,0.5075832,0.51110965
2050132.01,2050132.04,0.4924168,0.48889035
2050132.02,2050132.02,1.0,1.0
2050140.00,2050140.00,1.0,1.0
2050141.00,2050141.00,1.0,1.0
2050142.00,2050142.00,1.0,1.0
2050143.00,2050143.01,0.48367927,0.51419059
2050143.00,2050143.02,0.51632073,0.48580941
2050150.01,2050150.01,1.0,1.0
2050150.02,2050150.02,1.0,1.0
2050151.00,2050151.00,1.0,1.0
2050152.00,2050152.00,1.0,1.0
3050001.00,3050001.00,0.83242447,0.84696606
3050001.00,3050005.00,0.07226983,0.06703942
3050001.00,3050006.00,0.09530571,0.08599452
3050002.00,3050002.00,1.0,1.0
3050003.01,3050003.01,1.0,1.0
3050003.02,3050003.02,1.0,1.0
3050004.00,3050004.00,1.0,1.0
3050005.00,3050005.00,1.0,1.0
3050006.00,3050006.00,1.0,1.0
3050007.00,3050007.00,1.0,1.0
3050008.00,3050008.00,0.956664,0.94730951
3050008.00,3050009.00,0.043336,0.05269049
3050009.00,3050009.00,1.0,1.0
3050010.01,3050010.01,1.0,1.0
3050010.02,3050010.02,1.0,1.0
3050011.00,3050011.00,1.0,1.0
3050012.00,3050012.00,1.0,1.0
3050013.00,3050013.00,1.0,1.0
3050014.00,3050014.01,0.61036187,0.59718873
3050014.00,3050014.02,0.38963813,0.40281127
3050015.00,-1,0.0,0.0
3050015.00,3050015.00,0.9311857,0.93169877
3050015.00,3050016.01,0.0688143,0.06830123
3050016.01,-1,0.0,0.0
3050016.01,3050016.01,1.0,1.0
3050016.02,3050016.02,1.0,1.0
3050100.00,3050100.00,1.0,1.0
3050101.00,3050101.00,1.0,1.0
3050102.01,3050101.00,0.04379545,0.04379545
3050102.01,3050102.01,0.95620455,0.95620455
3050102.02,3050102.02,1.0,1.0
3050110.00,3050110.00,1.0,1.0
3100001.01,3100001.01,1.0,1.0
3100001.02,3100001.02,1.0,1.0
3100002.01,3100002.01,1.0,1.0
3100002.02,3100002.02,1.0,1.0
3100003.00,3100003.00,1.0,1.0
3100004.00,3100003.00,0.04852162,0.04852162
3100004.00,3100004.00,0.95147838,0.95147838
3100005.00,3100003.00,0.38061938,0.44352067
3100005.00,3100005.00,0.61938062,0.55647933
3100006.00,3100006.00,1.0,1.0
3100007.00,3100006.00,0.05718615,0.05714958
3100007.00,3100007.00,0.88911838,0.86530378
3100007.00,3100011.00,0.05369547,0.07754664
3100008.00,3100008.00,0.91374477,0.90131176
3100008.00,3100009.00,0.08625523,0.09868824
3100009.00,3100009.00,0.88455108,0.87805104
3100009.00,3100010.00,0.11544892,0.12194896
3100010.00,3100010.00,1.0,1.0
3100011.00,3100009.00,0.07065784,0.09605938
3100011.00,3100011.00,0.92934216,0.90394062
3100012.00,3100012.00,1.0,1.0
3100013.00,3100013.00,1.0,1.0
3100014.00,3100014.00,1.0,1.0
3100015.00,3100015.00,1.0,1.0
3100016.00,3100016.00,1.0,1.0
3100017.00,3100017.00,1.0,1.0
3100018.00,3100018.00,0.86305401,0.8463044
3100018.00,3100019.00,0.13694599,0.1536956
3100019.00,3100007.00,0.13708427,0.14495357
3100019.00,3100019.00,0.86291573,0.85504643
3100020.00,3100019.00,0.12325398,0.1378701
3100020.00,3100020.00,0.87674602,0.8621299
3100021.00,3100019.00,0.0508902,0.04912365
3100021.00,3100020.00,0.08525717,0.08239988
3100021.00,3100021.00,0.81428225,0.82410182
3100021.00,3100027.02,0.04957038,0.04437465
3100022.00,3100021.00,0.04477403,0.04639148
3100022.00,3100022.00,0.95522597,0.95360852
3100023.00,3100022.00,0.07427545,0.08029915
3100023.00,3100023.00,0.92572455,0.91970085
3100024.00,3100024.00,1.0,1.0
3100025.01,3100025.01,1.0,1.0
3100025.02,3100025.02,1.0,1.0
3100026.00,3100026.00,1.0,1.0
3100027.01,3100027.01,1.0,1.0
3100027.02,3100027.02,1.0,1.0
3100028.00,3100002.01,0.05206532,0.05342516
3100028.00,3100028.00,0.94793468,0.94657484
3100029.00,3100029.00,1.0,1.0
3100100.00,3100100.01,0.57322551,0.57664703
3100100.00,3100100.02,0.42677449,0.42335297
3100101.00,3100101.00,1.0,1.0
3100102.00,3100102.00,1.0,1.0
3100110.01,3100110.01,1.0,1.0
3100110.02,3100110.02,0.81035843,0.82751854
3100110.02,3100120.02,0.10333104,0.0939306
3100110.02,3100130.02,0.08631053,0.07855086
3100111.00,3100111.00,1.0,1.0
3100112.00,3100112.00,1.0,1.0
3100120.01,3100120.01,0.9499863,0.95093565
3100120.01,3100120.02,0.0500137,0.04906435
3100120.02,3100120.02,1.0,1.0
3100130.01,3100130.01,1.0,1.0
3100130.02,3100130.02,1.0,1.0
3100131.00,3100131.00,1.0,1.0
4080001.00,4080001.00,1.0,1.0
4080002.01,4080002.01,1.0,1.0
4080002.02,4080002.02,1.0,1.0
4080003.00,4080003.01,0.55884467,0.55193186
4080003.00,4080003.02,0.44115533,0.44806814
4080004.00,4080004.00,1.0,1.0
4080005.00,4080005.00,1.0,1.0
4080006.00,4080006.00,1.0,1.0
4080007.00,4080005.00,0.09149872,0.09255514
4080007.00,4080007.00,0.90850128,0.90744486
4080008.00,4080008.00,1.0,1.0
4080100.00,4080100.00,1.0,1.0
