source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,1.0,1.0
0010002.00,0010002.00,1.0,1.0
0010003.01,0010003.01,1.0,1.0
0010003.02,0010003.02,1.0,1.0
0010004.00,0010004.00,1.0,1.0
0010005.01,0010005.01,1.0,1.0
0010005.02,0010005.02,1.0,1.0
0010006.00,0010006.00,1.0,1.0
0010007.00,0010007.00,1.0,1.0
0010008.00,0010008.00,1.0,1.0
0010009.00,0010009.00,1.0,1.0
0010010.00,0010010.00,1.0,1.0
0010011.00,0010011.00,1.0,1.0
0010012.00,0010012.00,1.0,1.0
0010013.00,0010013.00,1.0,1.0
0010014.00,0010014.00,1.0,1.0
0010015.01,0010015.01,1.0,1.0
0010015.02,0010015.02,1.0,1.0
0010015.03,0010015.03,1.0,1.0
0010015.04,0010015.04,1.0,1.0
0010016.00,0010016.01,0.35860894,0.3218736
0010016.00,0010016.02,0.64139106,0.6781264
0010017.00,0010017.00,1.0,1.0
0010100.01,0010100.01,1.0,1.0
0010100.03,0010100.03,1.0,1.0
0010100.04,0010100.04,1.0,1.0
0010110.00,0010110.00,1.0,1.0
0010170.01,0010170.01,1.0,1.0
0010170.02,0010170.02,1.0,1.0
0010171.00,0010171.00,1.0,1.0
0010172.02,0010172.02,1.0,1.0
0010172.03,0010172.03,1.0,1.0
0010172.04,0010172.04,1.0,1.0
0010172.05,0010172.05,1.0,1.0
0010172.06,0010172.06,1.0,1.0
0010200.01,0010200.01,1.0,1.0
0010200.02,0010200.02,1.0,1.0
0010200.03,0010200.03,1.0,1.0
0010201.00,0010201.00,1.0,1.0
0010202.01,0010202.01,1.0,1.0
0010202.02,0010202.02,1.0,1.0
0010202.04,0010202.04,1.0,1.0
0010202.05,0010202.05,1.0,1.0
0010300.00,0010300.00,1.0,1.0
0010301.01,0010301.01,1.0,1.0
0010301.02,0010301.02,1.0,1.0
0010302.00,0010302.00,1.0,1.0
2050001.00,2050001.00,1.0,1.0
2050002.00,2050002.00,1.0,1.0
2050003.00,2050003.00,1.0,1.0
2050004.01,2050004.01,1.0,1.0
2050004.02,2050004.02,1.0,1.0
2050005.00,2050005.00,1.0,1.0
2050006.00,2050006.00,1.0,1.0
2050007.00,2050007.00,1.0,1.0
2050008.00,2050008.00,1.0,1.0
2050009.00,2050009.00,1.0,1.0
2050010.00,2050010.00,1.0,1.0
2050011.00,2050011.00,1.0,1.0
2050012.00,2050012.00,1.0,1.0
2050013.00,2050013.00,1.0,1.0
2050014.00,2050014.00,1.0,1.0
2050015.00,2050015.00,1.0,1.0
2050016.00,2050016.00,1.0,1.0
2050017.00,2050017.00,1.0,1.0
2050018.00,2050018.00,1.0,1.0
2050019.00,2050019.00,1.0,1.0
2050020.00,2050020.00,1.0,1.0
2050021.00,2050021.00,1.0,1.0
2050022.00,2050022.00,1.0,1.0
2050023.00,2050023.00,1.0,1.0
2050024.00,2050024.00,1.0,1.0
2050025.01,2050025.01,1.0,1.0
2050025.02,2050025.02,1.0,1.0
2050025.03,2050025.03,1.0,1.0
2050026.01,2050026.03,0.32173403,0.30298456
2050026.01,2050026.04,0.35040105,0.3805702
2050026.01,2050026.05,0.32786492,0.31644525
2050026.02,2050026.02,1.0,1.0
2050027.00,2050027.00,1.0,1.0
2050100.00,2050100.00,1.0,1.0
2050101.00,2050101.00,1.0,1.0
2050102.00,2050102.00,1.0,1.0
2050103.00,2050103.00,1.0,1.0
2050104.01,2050104.01,1.0,1.0
2050104.02,2050104.02,1.0,1.0
2050105.01,2050105.01,1.0,1.0
2050105.02,2050105.02,1.0,1.0
2050106.01,2050106.01,1.0,1.0
2050106.02,2050106.02,1.0,1.0
2050107.00,2050107.00,1.0,1.0
2050108.00,2050108.00,1.0,1.0
2050109.00,2050109.00,1.0,1.0
2050110.00,2050110.00,1.0,1.0
2050111.00,2050111.00,1.0,1.0
2050112.00,2050112.00,1.0,1.0
2050113.00,2050113.00,1.0,1.0
2050114.00,2050114.00,1.0,1.0
2050120.00,2050120.00,1.0,1.0
2050121.02,2050121.02,1.0,1.0
2050121.03,2050121.03,1.0,1.0
2050121.05,2050121.05,1.0,1.0
2050121.06,2050121.06,1.0,1.0
2050121.07,2050121.07,1.0,1.0
2050121.08,2050121.08,1.0,1.0
2050122.01,2050122.01,1.0,1.0
2050122.02,2050122.04,0.54127933,0.51633835
2050122.02,2050122.05,0.45872067,0.48366165
2050122.03,2050122.03,1.0,1.0
2050123.01,2050123.01,1.0,1.0
2050123.02,2050123.02,1.0,1.0
2050123.04,2050123.04,1.0,1.0
2050123.05,2050123.05,1.0,1.0
2050123.06,2050123.06,1.0,1.0
2050130.01,2050130.01,1.0,1.0
2050130.02,2050130.03,0.58842348,0.58562822
2050130.02,2050130.04,0.41157652,0.41437178
2050131.01,2050131.01,1.0,1.0
2050131.02,2050131.02,1.0,1.0
2050131.03,2050131.03,1.0,1.0
2050131.04,2050131.04,1.0,1.0
2050131.05,2050131.05,1.0,1.0
2050132.03,2050132.03,1.0,1.0
2050132.04,2050132.04,1.0,1.0
2050132.05,2050132.07,0.46029924,0.47483095
2050132.05,2050132.08,0.53970076,0.52516905
2050132.06,2050132.06,1.0,1.0
2050140.00,2050140.00,1.0,1.0
2050141.00,2050141.00,1.0,1.0
2050142.01,2050142.01,1.0,1.0
2050142.02,2050142.02,1.0,1.0
2050143.01,2050143.01,0.81711552,0.81081278
2050143.01,2050143.02,0.18288448,0.18918722
2050143.02,2050143.02,1.0,1.0
2050150.01,2050150.01,1.0,1.0
2050150.02,2050150.02,1.0,1.0
2050151.00,2050151.00,1.0,1.0
2050152.00,2050152.00,1.0,1.0
2050153.00,2050153.00,1.0,1.0
2050154.00,2050154.00,1.0,1.0
2050155.00,2050155.00,1.0,1.0
3050001.00,3050001.00,1.0,1.0
3050002.00,3050002.00,1.0,1.0
3050003.01,3050003.01,1.0,1.0
3050003.03,3050003.03,1.0,1.0
3050003.04,3050003.04,1.0,1.0
3050004.00,3050004.00,1.0,1.0
3050005.00,3050005.00,1.0,1.0
3050006.00,3050006.00,1.0,1.0
3050007.00,3050007.00,1.0,1.0
3050008.00,3050008.00,1.0,1.0
3050009.00,3050009.00,1.0,1.0
3050010.01,3050010.01,1.0,1.0
3050010.02,3050010.02,1.0,1.0
3050011.00,3050011.00,1.0,1.0
3050012.00,3050012.00,1.0,1.0
3050013.00,3050013.00,1.0,1.0
3050014.01,3050014.03,0.37424488,0.3723771
3050014.01,3050014.04,0.62575512,0.6276229
3050014.02,3050014.02,1.0,1.0
3050015.00,3050015.00,1.0,1.0
3050016.01,3050016.01,1.0,1.0
3050016.02,3050016.02,1.0,1.0
3050100.00,3050100.00,1.0,1.0
3050101.00,3050101.00,1.0,1.0
3050102.01,3050102.01,1.0,1.0
3050102.02,3050102.02,1.0,1.0
3050110.00,3050110.00,1.0,1.0
3050200.00,3050200.00,1.0,1.0
3100001.01,3100001.01,1.0,1.0
3100001.02,3100001.02,1.0,1.0
3100002.01,3100002.01,1.0,1.0
3100002.02,3100002.02,1.0,1.0
3100003.00,3100003.00,1.0,1.0
3100004.00,3100004.00,1.0,1.0
3100005.00,3100005.00,1.0,1.0
3100006.00,3100006.00,1.0,1.0
3100007.00,3100007.00,1.0,1.0
3100008.00,3100008.00,1.0,1.0
3100009.00,3100009.00,1.0,1.0
3100010.00,3100010.00,1.0,1.0
3100011.00,3100011.00,1.0,1.0
3100012.00,3100012.00,1.0,1.0
3100013.00,3100013.00,1.0,1.0
3100014.00,3100014.00,1.0,1.0
3100015.00,3100015.00,1.0,1.0
3100016.00,3100016.00,1.0,1.0
3100017.00,3100017.00,1.0,1.0
3100018.00,3100018.00,1.0,1.0
3100019.00,3100019.00,1.0,1.0
3100020.00,3100020.00,1.0,1.0
3100021.00,3100021.00,1.0,1.0
3100022.00,3100022.00,1.0,1.0
3100023.00,3100023.00,1.0,1.0
3100024.00,3100024.00,1.0,1.0
3100025.01,3100025.01,1.0,1.0
3100025.02,3100025.02,1.0,1.0
3100026.00,3100026.00,1.0,1.0
3100027.01,3100027.01,1.0,1.0
3100027.02,3100027.02,1.0,1.0
3100028.00,3100028.00,1.0,1.0
3100029.00,3100029.00,1.0,1.0
3100100.01,3100100.01,1.0,1.0
3100100.02,3100100.02,1.0,1.0
3100101.00,3100101.00,1.0,1.0
3100102.00,3100102.00,1.0,1.0
3100110.01,3100110.01,1.0,1.0
3100110.02,3100110.02,1.0,1.0
3100111.00,3100111.00,1.0,1.0
3100112.00,3100112.00,1.0,1.0
3100120.01,3100120.03,0.28002139,0.28130072
3100120.01,3100120.04,0.71997861,0.71869928
3100120.02,3100120.02,1.0,1.0
3100130.01,3100130.01,1.0,1.0
3100130.02,3100130.02,1.0,1.0
3100131.00,3100131.00,1.0,1.0
3200001.00,3200001.00,1.0,1.0
3200002.00,3200002.00,1.0,1.0
3200003.00,3200003.00,1.0,1.0
3200004.00,3200004.00,1.0,1.0
3200005.00,3200005.00,1.0,1.0
3200006.00,3200006.00,1.0,1.0
3200007.00,3200007.00,1.0,1.0
3200008.00,3200008.00,1.0,1.0
3200009.00,3200009.00,1.0,1.0
3200010.00,3200010.00,1.0,1.0
3200011.00,3200011.00,1.0,1.0
3200012.00,3200012.00,1.0,1.0
3200013.00,3200013.00,1.0,1.0
3200014.00,3200014.00,1.0,1.0
3200015.00,3200015.00,1.0,1.0
3200016.00,3200016.00,1.0,1.0
3200017.00,3200017.00,1.0,1.0
3200018.00,3200018.00,1.0,1.0
3200019.00,3200019.00,1.0,1.0
3200020.00,3200020.00,0.99999993,0.99999993
3200020.00,3200027.00,7e-08,7e-08
3200021.00,3200021.00,1.0,1.0
3200022.00,3200022.00,1.0,1.0
3200022.00,3200027.00,0.0,0.0
3200023.00,3200023.00,1.0,1.0
3200024.00,3200024.00,1.0,1.0
3200025.00,3200025.00,1.0,1.0
3200026.00,3200026.00,1.0,1.0
4080001.00,4080001.00,1.0,1.0
4080002.01,4080002.01,1.0,1.0
4080002.02,4080002.02,1.0,1.0
4080003.01,4080003.01,1.0,1.0
4080003.02,4080003.02,1.0,1.0
4080004.00,4080004.00,1.0,1.0
4080005.00,4080005.00,1.0,1.0
4080006.00,4080006.00,1.0,1.0
4080007.00,4080007.00,1.0,1.0
4080008.00,4080008.00,1.0,1.0
4080100.00,4080100.00,1.0,1.0
4080101.00,4080101.00,1.0,1.0
4080102.00,4080102.00,1.0,1.0
4080103.00,4080103.00,1.0,1.0
4080104.00,4080104.00,1.0,1.0
4080105.00,4080105.00,1.0,1.0
4080106.00,4080106.00,1.0,1.0
4080107.02,4080107.02,1.0,1.0
4080107.03,4080107.03,1.0,1.0
4080107.04,4080107.04,1.0,1.0
4080108.00,4080108.00,1.0,1.0
4080109.00,4080109.00,1.0,1.0
4080110.00,4080110.00,1.0,1.0
4080111.02,4080111.02,1.0,1.0
4080120.01,4080120.01,1.0,1.0
