source_ctuid,target_ctuid,w_area
4620329.00,4620329.00,1.0
4620330.00,4620330.00,1.0
4620331.00,4620331.00,1.0
4620332.00,4620332.00,1.0
4620333.00,4620333.00,1.0
4620334.00,4620334.00,1.0
4620335.00,4620335.00,1.0
4620336.00,4620336.00,1.0
4620337.00,4620337.00,1.0
4620338.00,4620338.00,1.0
4620339.00,4620339.00,1.0
4620340.00,4620340.00,1.0
4620341.00,4620341.00,1.0
4620342.00,4620342.00,1.0
4620343.00,4620343.00,1.0
4620344.00,4620344.00,1.0
4620345.00,4620345.00,1.0
4620350.00,4620350.00,1.0
4620351.00,4620351.00,1.0
4620352.00,4620352.00,1.0
4620354.00,4620354.00,1.0
4620356.00,4620356.00,1.0
4620358.00,4620358.00,1.0
4620360.00,4620360.00,1.0
4620362.00,4620362.00,1.0
4620364.00,4620364.00,1.0
4620365.00,4620365.00,1.0
4620366.00,4620366.00,1.0
4620367.00,4620367.00,1.0
4620368.00,4620368.00,1.0
4620370.00,4620370.00,1.0
4620371.00,4620371.00,1.0
4620372.00,4620372.00,1.0
4620373.00,4620373.00,1.0
4620374.00,4620374.00,1.0
4620375.00,4620375.00,0.87412976
4620375.00,4620382.00,0.12587024
4620376.00,4620376.00,1.0
4620380.00,4620380.00,1.0
4620381.00,4620375.00,0.25149519
4620381.00,4620381.00,0.74850481
4620382.00,4620382.00,0.90606516
4620382.00,4620383.00,0.09393484
4620383.00,4620383.00,1.0
4620384.00,4620384.00,1.0
4620385.00,4620385.00,1.0
4620386.00,4620386.00,1.0
4620387.00,4620387.00,0.86860139
4620387.00,4620389.00,0.0708234
4620387.00,4620393.00,0.06057473
4620387.00,4620403.00,4.8e-07
4620389.00,4620389.00,1.0
4620391.00,4620391.00,0.99999954
4620391.00,4620392.00,4.6e-07
5050001.00,5050001.00,1.0
5050002.00,5050002.00,0.93763849
5050002.00,5050079.00,0.06236151
5050003.00,5050003.00,1.0
5050004.00,5050004.00,1.0
5050005.00,5050005.00,0.10100316
5050005.00,5050041.00,0.10829641
5050005.00,5050042.00,0.79070043
5050006.00,5050006.00,0.51037199
5050006.00,5050043.00,0.14422503
5050006.00,5050044.00,0.34540298
5050007.00,5050007.00,1.0
5050008.00,5050008.00,0.4110944
5050008.00,5050045.00,0.18790793
5050008.00,5050046.00,0.40099767
5050009.00,5050009.00,1.0
5050010.00,5050010.00,1.0
5050011.00,5050011.00,1.0
5050012.00,5050012.00,1.0
5050013.00,5050013.00,1.0
5050014.00,5050014.00,1.0
5050015.00,5050015.00,1.0
5050016.00,5050016.00,1.0
5050017.00,5050017.00,1.0
5050018.00,5050018.00,1.0
5050019.00,5050019.00,1.0
5050020.00,5050020.00,1.0
5050021.00,5050021.00,1.0
5050022.00,5050022.00,1.0
5050023.00,5050023.00,1.0
5050024.00,5050024.00,1.0
5050025.00,5050025.00,1.0
5050026.00,5050026.00,1.0
5050027.00,5050027.00,1.0
5050028.00,5050028.00,1.0
5050029.00,5050029.00,1.0
5050030.00,5050030.00,1.0
5050031.00,5050031.00,1.0
5050032.00,5050032.00,1.0
5050033.00,5050033.00,1.0
5050034.00,5050034.00,1.0
5050035.00,5050035.00,1.0
5050036.00,5050036.00,1.0
5050037.00,5050037.00,1.0
5050038.00,5050038.00,1.0
5050039.00,5050039.00,0.52227309
5050039.00,5050047.00,0.28962077
5050039.00,5050048.00,0.18810614
5050040.00,5050040.00,0.34746638
5050040.00,5050047.00,0.10810071
5050040.00,5050049.00,0.24530084
5050040.00,5050050.00,0.29913207
5050041.00,5050100.00,1.0
5050042.00,5050101.00,1.0
5050043.00,5050102.00,1.0
5050044.00,5050103.00,1.0
5050045.00,5050104.00,0.79123053
5050045.00,5050107.00,0.20876947
5050046.00,5050105.00,1.0
5050047.00,5050106.00,1.0
5050400.00,5050070.00,0.24827474
5050400.00,5050071.00,0.18991348
5050400.00,5050072.00,0.13181771
5050400.00,5050073.00,0.30331398
5050400.00,5050074.00,0.12668009
5050401.00,5050086.00,0.36089561
5050401.00,5050087.00,0.07250325
5050401.00,5050088.00,0.06435649
