ctuid_s,ctuid_t,w,f
3050003.02,3050003.04,0.5421730557550706,3
3050004.00,3050004.00,1.0,1
3050005.00,3050005.00,1.0,1
3050006.00,3050006.00,1.0,1
3050007.00,3050007.00,1.0,1
3050008.00,3050008.00,1.0,1
3050009.00,3050009.00,1.0,1
3050010.01,3050010.01,1.0,1
3050010.02,3050010.02,1.0,1
3050011.00,3050011.00,1.0,1
3050012.00,3050012.00,0.9579442974073569,4
3050012.00,3050013.00,0.042055702592643164,4
3050013.00,3050013.00,1.0,4
3050014.00,3050014.02,0.2477796231392257,3
3050014.00,3050014.03,0.5147912121528466,3
3050014.00,3050014.04,0.2374291647079277,3
3050015.00,3050015.02,0.8901267518888705,4
3050015.00,3050016.01,0.10987324811112949,4
3050016.00,3050016.01,0.46376996953848754,4
3050016.00,3050016.02,0.5362300304615125,4
3050100.00,3050100.00,1.0,1
3050101.00,3050101.00,1.0,1
3050102.01,3050102.01,1.0,1
3050102.02,3050102.02,1.0,1
3100001.01,3100001.01,1.0,4
3100001.02,3100001.01,0.021992956285892474,4
3100001.02,3100001.02,0.9780070437141075,4
3100002.01,3100002.01,1.0,1
3100002.02,3100002.02,1.0,1
3100003.00,3100003.00,1.0,1
3100004.00,3100004.00,1.0,1
3100005.00,3100005.00,1.0,1
3100006.00,3100006.00,1.0,1
3100007.00,3100007.00,1.0,4
3100008.00,3100008.00,0.8997358358506935,4
3100008.00,3100009.00,0.10026416414930647,4
3100009.00,3100009.00,1.0,4
3100010.00,3100010.00,1.0,1
3100011.00,3100011.00,1.0,1
3100012.00,3100012.00,1.0,4
3100013.00,3100012.00,0.1175829660110875,4
3100013.00,3100013.00,0.8824170339889126,4
3100014.00,3100014.00,1.0,1
3100015.00,3100015.00,1.0,1
3100016.00,3100016.00,1.0,1
3100017.00,3100017.00,1.0,1
3100018.00,3100018.00,1.0,1
3100019.00,3100007.00,0.20206708381665398,4
3100019.00,3100019.00,0.7979329161833459,4
3100020.00,3100020.00,1.0,1
3100021.00,3100021.00,1.0,1
3100022.00,3100022.00,1.0,1
3100023.00,3100023.00,1.0,1
3100024.00,3100024.00,1.0,1
3100025.01,3100025.01,0.9238264592062695,4
3100025.01,3100026.00,0.07617354079373052,4
3100025.02,3100025.02,0.9397134887508173,4
3100025.02,3100026.00,0.06028651124918268,4
3100026.00,3100026.00,1.0,4
3100027.01,3100027.01,1.0,1
3100027.02,3100027.02,1.0,1
3100028.00,3100028.00,1.0,1
3100029.00,3100029.00,1.0,1
3100100.00,3100100.01,0.4038172478004778,4
3100100.00,3100100.03,0.22334840913354082,4
3100100.00,3100100.04,0.33037972506641883,4
3100100.00,3100101.00,0.04245461799956251,4
3100101.00,3100101.00,1.0,4
3100110.00,3100110.01,0.39330450878963896,4
3100110.00,3100110.02,0.558366612525444,4
3100110.00,3100120.02,0.03324643838903062,4
3100110.00,3100130.03,0.015082440295886526,4
3100111.00,3100111.00,1.0,1
3100112.00,3100112.00,1.0,1
3100120.00,3100120.02,0.536391221941068,4
3100120.00,3100120.03,0.11296580714230899,4
3100120.00,3100120.04,0.350642970916623,4
3100130.01,3100130.01,1.0,1
3100130.02,3100130.04,1.0,1
3100131.00,3100131.01,0.3445152537411425,3
3100131.00,3100131.02,0.6554847462588574,3
4080001.00,4080001.00,1.0,1
4080002.00,4080002.01,0.373133762189476,3
4080002.00,4080002.02,0.626866237810524,3
4080003.00,4080003.01,0.6372872441570245,3
4080003.00,4080003.02,0.3627127558429755,3
4080004.00,4080004.00,1.0,1
4080005.00,4080005.00,1.0,1
4080006.00,4080006.00,1.0,1
4080007.00,4080007.00,1.0,1
4080008.00,4080008.00,1.0,1
4080100.00,4080100.00,1.0,1
4080101.00,4080101.00,1.0,1
4080102.00,4080102.00,1.0,1
4080103.00,4080103.00,1.0,1
4080104.00,4080104.00,1.0,4
4080105.00,4080105.00,1.0,1
4080106.00,4080106.00,1.0,1
4080107.00,4080107.02,0.306627088191406,4
4080107.00,4080107.03,0.693372911808594,4
4080108.00,4080108.00,1.0,1
4080109.00,4080109.00,1.0,1
4080110.00,4080110.00,1.0,1
4080111.00,4080104.00,0.31688926309820337,4
4080111.00,4080107.02,0.023513811659177566,4
4080111.00,4080107.03,0.15896775400588437,4
4080111.00,4080107.04,0.06805902691610696,4
4080111.00,4080111.03,0.18912921016799036,4
4080111.00,4080111.04,0.24344093415263737,4
4080120.00,4080120.01,0.23172150190812618,3
4080120.00,4080120.03,0.6406944448381792,3
4080120.00,4080120.04,0.07007011022372338,3
4080120.00,4080120.05,0.05751394302997128,3
4080130.00,4080130.00,1.0,1
4080131.00,4080131.00,1.0,1
4080132.00,4080132.00,1.0,1
4080133.00,4080133.00,1.0,1
4080140.00,4080140.00,1.0,1
4080150.00,4080150.00,1.0,1
4080160.00,4080160.00,1.0,1
4080161.00,4080161.00,1.0,1
4080162.00,4080162.00,1.0,1
4080163.00,4080163.00,1.0,1
4080164.00,4080164.00,1.0,1
4210001.00,4210001.01,0.6312889282957885,3
4210001.00,4210001.02,0.36871107170421147,3
4210002.00,4210002.00,1.0,4
4210003.00,4210003.00,1.0,1
4210004.00,4210004.00,1.0,1
4210005.00,4210005.00,1.0,1
4210006.00,4210006.00,1.0,4
4210007.00,4210007.00,1.0,1
4210008.00,4210008.00,1.0,1
4210009.00,4210009.00,1.0,1
4210010.00,4210010.00,1.0,1
4210011.00,4210011.00,1.0,1
4210012.00,4210012.00,1.0,1
4210013.00,4210006.00,0.15450173221230049,4
4210013.00,4210013.00,0.8454982677876994,4
4210014.00,4210014.00,0.8355037429504205,4
4210014.00,4210015.00,0.1644962570495795,4
4210015.00,4210015.00,1.0,4
4210016.00,4210016.00,1.0,1
4210017.00,4210017.00,1.0,1
4210018.00,4210015.00,0.1968448810727625,4
4210018.00,4210018.00,0.8031551189272375,4
4210019.00,4210019.00,1.0,1
4210020.00,4210020.00,1.0,1
4210021.00,4210021.00,1.0,1
4210022.00,4210022.00,1.0,1
4210023.00,4210023.00,1.0,1
4210024.00,4210024.00,1.0,1
4210025.00,4210025.00,1.0,1
4210026.00,4210026.00,1.0,4
4210027.00,4210027.00,1.0,1
4210028.00,4210028.00,1.0,1
4210029.00,4210029.00,1.0,1
4210030.00,4210030.00,1.0,1
4210031.00,4210031.00,1.0,4
4210032.00,4210031.00,0.29772721940759445,4
4210032.00,4210032.00,0.7022727805924055,4
4210033.01,4210033.01,0.8787411792944705,4
4210033.01,4210260.03,0.12125882070552949,4
4210033.02,4210033.02,1.0,1
4210034.00,4210034.00,1.0,1
4210035.00,4210035.00,1.0,1
4210036.00,4210036.00,1.0,1
4210037.00,4210037.00,1.0,1
4210038.01,4210038.01,1.0,1
4210038.02,4210038.02,1.0,1
4210039.01,4210039.01,1.0,4
4210039.02,4210039.02,1.0,1
4210040.01,4210040.01,1.0,1
4210040.02,4210002.00,0.057287473238321514,4
4210040.02,4210040.03,0.32405425351602923,4
4210040.02,4210040.04,0.6186582732456493,4
4210041.01,4210041.08,0.4523948013060205,3
4210041.01,4210041.09,0.5476051986939795,3
4210041.02,4210041.02,1.0,1
4210041.03,4210041.03,1.0,4
4210041.04,4210041.04,0.601734782471498,3
4210041.04,4210041.06,0.398265217528502,3
4210041.05,4210041.05,0.54115953275065,4
4210041.05,4210041.07,0.306898164100408,4
4210041.05,4210240.01,0.151942303148942,4
4210100.00,4210100.00,1.0,1
4210101.00,4210101.00,1.0,1
4210102.00,4210102.00,1.0,1
4210103.00,4210103.00,1.0,1
4210110.00,4210110.00,1.0,1
4210111.00,4210111.00,1.0,1
4210112.01,4210112.01,1.0,1
4210112.02,4210112.02,1.0,1
4210113.01,4210113.01,1.0,1
4210113.02,4210113.02,1.0,1
4210114.00,4210114.00,1.0,1
4210115.00,4210115.00,1.0,1
4210116.00,4210040.04,0.147556624048281,4
4210116.00,4210116.00,0.8524433759517189,4
4210117.00,4210039.01,0.161198140246381,4
4210117.00,4210117.01,0.5986178079100269,4
4210117.00,4210117.02,0.240184051843592,4
4210118.00,4210118.00,1.0,1
4210119.01,4210119.03,0.511593549727579,4
4210119.01,4210119.04,0.48840645027242097,4
4210119.02,4210119.02,0.9512639420663936,4
4210119.02,4210119.03,0.04873605793360637,4
4210120.01,4210120.01,0.511527833925498,3
4210120.01,4210120.03,0.488472166074502,3
4210120.02,4210120.02,1.0,1
4210140.01,4210140.01,1.0,1
4210140.02,4210140.02,1.0,1
4210140.03,4210140.03,1.0,1
4210160.01,4210160.01,1.0,1
4210160.02,4210041.03,0.10590317032219831,4
4210160.02,4210160.04,0.22577168353233384,4
4210160.02,4210160.05,0.6683251461454679,4
4210160.03,4210160.03,1.0,1
4210170.01,4210170.03,0.4047504092473957,3
4210170.01,4210170.04,0.1870054472294987,3
4210170.01,4210170.05,0.4082441435231057,3
4210170.02,4210170.06,0.300188549608628,3
4210170.02,4210170.07,0.6998114503913719,3
4210190.00,4210190.00,1.0,4
4210200.00,4210200.00,1.0,4
4210210.00,4210200.00,0.04625744206765513,4
4210210.00,4210210.01,0.44844618595411845,4
4210210.00,4210210.02,0.5052963719782264,4
4210220.01,4210220.01,1.0,1
4210220.02,4210220.02,1.0,1
4210230.00,4210230.01,0.5393222216950055,3
4210230.00,4210230.02,0.4606777783049945,3
4210240.00,4210240.01,0.463257088628339,4
4210240.00,4210240.02,0.536742911371661,4
4210260.01,4210260.01,1.0,1
4210260.02,4210260.02,1.0,1
4210260.03,4210260.03,1.0,4
4210270.01,4210270.01,1.0,1
4210270.02,4210270.03,0.573538399758216,3
4210270.02,4210270.04,0.426461600241784,3
4210271.01,4210271.01,1.0,1
4210271.02,4210271.02,1.0,1
4210272.00,4210272.00,1.0,1
4210273.01,4210273.01,0.48358324872096903,3
4210273.01,4210273.03,0.516416751279031,3
4210273.02,4210273.02,0.459037530825883,3
4210273.02,4210273.04,0.5409624691741169,3
4210280.01,4210280.01,1.0,1
4210280.02,4210280.02,1.0,1
4210280.03,4210280.03,1.0,1
4210290.00,4210290.01,0.283882613412033,3
4210290.00,4210290.03,0.243028364575107,3
4210290.00,4210290.04,0.47308902201286,3
4210300.00,4210300.00,1.0,1
4210310.00,4210026.00,0.13687970876221903,4
4210310.00,4210310.00,0.863120291237781,4
4210311.01,4210311.01,1.0,1
4210311.02,4210311.02,1.0,1
4210320.01,4210320.01,1.0,1
4210320.02,4210320.02,1.0,1
4210320.03,4210320.03,0.5340805138435997,3
4210320.03,4210320.07,0.20932181040554365,3
4210320.03,4210320.08,0.2565976757508567,3
4210320.04,4210320.04,1.0,1
4210320.05,4210320.05,1.0,1
4210330.00,4210330.00,1.0,1
4210340.00,4210340.01,0.1712988354675319,4
4210340.00,4210340.02,0.2040825039121469,4
4210340.00,4210340.03,0.586066473506549,4
4210340.00,4210500.00,0.03855218711377231,4
4210360.00,4210340.03,0.11168628129194598,4
4210360.00,4210360.01,0.505173387518314,4
4210360.00,4210360.02,0.38314033118973995,4
4210370.00,4210370.00,1.0,1
