source_ctuid,target_ctuid,w_area
0010001.00,0010001.00,0.8105399048
0010001.00,0010100.00,0.1894600952
0010002.00,0010002.00,0.9563700005
0010002.00,0010110.00,0.0436299995
0010003.00,0010003.00,1.0000000000
0010004.00,0010004.00,1.0000000000
0010005.00,0010005.00,1.0000000000
0010006.00,0010002.00,0.0585909403
0010006.00,0010006.00,0.9414090597
0010007.00,0010007.00,1.0000000000
0010008.00,0010008.00,1.0000000000
0010009.00,0010009.00,0.9440162410
0010009.00,0010015.00,0.0559837590
0010010.00,0010010.00,1.0000000000
0010011.00,0010011.00,1.0000000000
0010012.00,0010012.00,1.0000000000
0010013.00,0010010.00,0.0877120377
0010013.00,0010013.00,0.9122879623
0010014.00,0010014.00,1.0000000000
0010015.00,0010015.00,1.0000000000
0010016.00,0010004.00,0.0565905764
0010016.00,0010016.00,0.9434094236
0010050.00,0010100.00,0.4790335160
0010050.00,0010110.00,0.5209664840
0010051.00,0010003.00,0.1867838277
0010051.00,0010110.00,0.7321107213
0010051.00,0010120.00,0.0810053161
0010051.00,0010160.00,0.0001001349
0010052.00,0010120.00,0.1139231236
0010052.00,0010170.00,0.8860768764
0010053.00,0010120.00,0.9998995288
0010053.00,0010300.00,0.0001004712
0010055.00,0010016.00,0.0976300226
0010055.00,0010130.00,0.7835512386
0010055.00,0010140.00,0.1188187389
0010056.00,0010016.00,0.0520547703
0010056.00,0010140.00,0.9479452297
0010057.00,0010140.00,0.0797906992
0010057.00,0010150.00,0.8888468803
0010057.00,0010180.00,0.0311377086
0010057.00,0010180.00,0.0001023822
0010057.00,0010200.00,0.0000199474
0010057.00,0010200.00,0.0001023822
2050001.00,2050003.00,1.0000000000
2050002.00,2050004.00,1.0000000000
2050003.00,2050008.00,1.0000000000
2050004.00,2050009.00,1.0000000000
2050005.00,2050010.00,1.0000000000
2050006.00,2050019.00,0.2598343308
2050006.00,2050020.00,0.7401656692
2050007.00,2050021.00,1.0000000000
2050008.00,2050021.00,0.3957191131
