source_ctuid,target_ctuid,w_area
0010001.00,0010001.00,0.88471312
0010001.00,0010002.00,0.11528688
0010002.00,0010002.00,1.0
0010003.00,0010003.01,0.3465494
0010003.00,0010003.02,0.24207845
0010003.00,0010170.01,0.24773664
0010003.00,0010170.02,0.16363552
0010004.00,0010004.01,0.55816018
0010004.00,0010004.02,0.44183982
0010005.00,0010005.01,0.50195228
0010005.00,0010005.02,0.49804772
0010006.00,0010006.00,1.0
0010007.00,0010007.00,1.0
0010008.00,0010008.00,1.0
0010009.00,0010009.00,1.0
0010010.00,0010010.00,1.0
0010011.00,0010011.00,1.0
0010012.00,0010012.00,1.0
0010013.00,0010013.00,1.0
0010014.00,0010014.00,1.0
0010015.00,0010015.01,0.47755903
0010015.00,0010015.02,0.23603455
0010015.00,0010015.03,0.28640642
0010016.00,0010004.01,0.15783968
0010016.00,0010016.02,0.84216032
0010050.00,0010001.00,0.46755747
0010050.00,0010100.01,0.53244253
0010051.00,0010100.01,0.06965476
0010051.00,0010100.03,0.32941436
0010051.00,0010100.04,0.35140343
0010051.00,0010170.01,0.10453178
0010051.00,0010171.00,0.11913045
0010051.00,0010172.05,0.02586523
0010052.00,0010171.00,0.69841832
0010052.00,0010172.02,0.02447727
0010052.00,0010172.03,0.24946948
0010052.00,0010172.06,0.02763493
0010053.00,0010004.01,0.07693089
0010053.00,0010017.00,0.00180632
0010053.00,0010171.00,0.06894332
0010053.00,0010172.02,0.03323608
0010053.00,0010172.04,0.28334889
0010053.00,0010202.01,0.03382439
0010053.00,0010202.06,0.10995345
0010053.00,0010202.07,0.03858822
0010053.00,0010202.08,0.00265933
0010053.00,0010202.10,0.32617918
0010053.00,0010300.01,0.02452991
0010055.00,0010004.01,0.17423784
0010055.00,0010016.02,0.36259614
0010055.00,0010200.02,0.05748136
0010055.00,0010201.00,0.14509825
0010055.00,0010202.01,0.03225309
0010055.00,0010202.02,0.22833333
0010056.00,0010016.01,0.46445985
