source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,0.6864563601,0.7177859397
0010001.00,0010002.00,0.2515868749,0.2254641210
0010001.00,0010006.00,0.0619567650,0.0567499393
0010002.00,0010002.00,1.0000000000,1.0000000000
0010003.00,0010003.00,0.5019410767,0.4601943848
0010003.00,0010170.00,0.4980589233,0.5398056152
0010004.00,0010004.00,1.0000000000,1.0000000000
0010005.00,0010005.01,0.4456512000,0.4426482810
0010005.00,0010005.02,0.5543488000,0.5573517190
0010006.00,0010006.00,1.0000000000,1.0000000000
0010007.00,0010007.00,1.0000000000,1.0000000000
0010008.00,0010008.00,1.0000000000,1.0000000000
0010009.00,0010009.00,1.0000000000,1.0000000000
0010010.00,0010010.00,0.9286750315,0.9307314708
0010010.00,0010013.00,0.0713249685,0.0692685292
0010011.00,0010011.00,1.0000000000,1.0000000000
0010012.00,0010012.00,1.0000000000,1.0000000000
0010013.00,0010013.00,1.0000000000,1.0000000000
0010014.00,0010014.00,1.0000000000,1.0000000000
0010015.00,0010015.01,0.3543724966,0.3861891171
0010015.00,0010015.02,0.6456275034,0.6138108829
0010016.00,0010004.00,0.0834216818,0.0852761566
0010016.00,0010016.00,0.9165783182,0.9147238434
0010100.00,0010001.00,0.8714696443,0.8313649465
0010100.00,0010100.00,0.1285303557,0.1686350535
0010110.00,-1,0.0000000001,0.0000000001
0010110.00,0010100.00,0.8611540327,0.8520764026
0010110.00,0010300.00,0.1388459673,0.1479235974
0010120.00,0010172.00,0.3893142980,0.3834372619
0010120.00,0010202.00,0.5494689708,0.5447306791
0010120.00,0010300.00,0.0612167312,0.0718320590
0010130.00,0010016.00,0.3341071592,0.3103024468
0010130.00,0010201.00,0.1368569426,0.1492453047
0010130.00,0010202.00,0.5290358982,0.5404522484
0010140.00,0010016.00,0.7543971396,0.7466624515
0010140.00,0010200.00,0.1104458519,0.1136356452
0010140.00,0010201.00,0.1351570086,0.1397019033
0010150.00,0010015.01,0.1448536103,0.1356800412
0010150.00,0010015.02,0.2774085240,0.3111908459
0010150.00,0010200.00,0.5777378658,0.5531291129
0010160.00,0010100.00,1.0000000000,1.0000000000
0010170.00,0010171.00,0.6046340861,0.6129295579
0010170.00,0010172.00,0.3953659139,0.3870704421
0010180.00,0010015.02,1.0000000000,1.0000000000
0010200.00,0010200.00,0.7211534316,0.6967830792
0010200.00,0010201.00,0.2788465684,0.3032169208
0010210.00,0010200.00,1.0000000000,1.0000000000
0010300.00,0010300.00,0.2414530171,0.2558087499
0010300.00,0010301.00,0.5842179984,0.5719570815
0010300.00,0010302.00,0.1743289845,0.1722341686
0010310.00,0010302.00,1.0000000000,1.0000000000
2050001.00,2050001.00,1.0000000000,1.0000000000
2050002.00,2050002.00,1.0000000000,1.0000000000
2050003.00,2050003.00,0.9555927651,0.9503735248
2050003.00,2050004.00,0.0444072349,0.0496264752
2050004.00,2050004.00,1.0000000000,1.0000000000
2050005.00,2050005.00,1.0000000000,1.0000000000
2050006.00,2050006.00,1.0000000000,1.0000000000
2050007.00,2050007.00,1.0000000000,1.0000000000
