source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,0.7590805813,0.7849481864
0010001.00,0010002.00,0.2409194187,0.2150518136
0010002.00,0010002.00,0.9526428035,0.9526428035
0010002.00,0010006.00,0.0473571965,0.0473571965
0010003.00,0010003.01,0.3358237633,0.3712744337
0010003.00,0010003.02,0.1873302214,0.1107253297
0010003.00,0010170.01,0.3589445526,0.3826413793
0010003.00,0010170.02,0.1179014627,0.1353588573
0010004.00,0010004.01,0.5664384320,0.6265129094
0010004.00,0010004.02,0.4335615680,0.3734870906
0010005.00,0010005.01,0.4416989911,0.4375615669
0010005.00,0010005.02,0.5583010089,0.5624384331
0010006.00,0010006.00,1.0000000000,1.0000000000
0010007.00,0010007.00,1.0000000000,1.0000000000
0010008.00,0010008.00,1.0000000000,1.0000000000
0010009.00,0010009.00,1.0000000000,1.0000000000
0010010.00,0010010.00,0.9268468262,0.9285951639
0010010.00,0010013.00,0.0731531738,0.0714048361
0010011.00,0010011.00,1.0000000000,1.0000000000
0010012.00,0010012.00,1.0000000000,1.0000000000
0010013.00,0010013.00,1.0000000000,1.0000000000
0010014.00,0010014.00,1.0000000000,1.0000000000
0010015.00,0010015.01,0.3490083307,0.3805962189
0010015.00,0010015.02,0.4999365836,0.5028783573
0010015.00,0010015.03,0.1510550857,0.1165254237
0010016.00,0010004.01,0.0834216818,0.0852761566
0010016.00,0010016.02,0.9165783182,0.9147238434
0010100.00,0010001.00,0.8715175392,0.8315920431
0010100.00,0010100.03,0.1284824608,0.1684079569
0010110.00,-1,0.0000000001,0.0000000001
0010110.00,0010017.00,0.1531263277,0.1617763830
0010110.00,0010100.01,0.3405222818,0.3484322995
0010110.00,0010100.03,0.4045332293,0.3968931401
0010110.00,0010100.04,0.1018181611,0.0928981775
0010120.00,-1,0.0000000001,0.0000000001
0010120.00,0010017.00,0.0508117104,0.0508117104
0010120.00,0010171.00,0.0489886484,0.0489886484
0010120.00,0010172.02,0.0681394657,0.0681394657
0010120.00,0010172.04,0.2046755326,0.2046755326
0010120.00,0010172.05,0.0257323306,0.0257323306
0010120.00,0010172.06,0.0056425354,0.0056425354
0010120.00,0010202.01,0.2112007073,0.2112007073
0010120.00,0010202.06,0.1119854040,0.1119854040
0010120.00,0010202.07,0.0495650365,0.0495650365
0010120.00,0010202.10,0.2232586292,0.2232586292
0010130.00,0010016.02,0.3341262858,0.3103894212
0010130.00,0010201.00,0.1452962023,0.1583770996
0010130.00,0010202.01,0.0803800957,0.0821829232
0010130.00,0010202.02,0.2500220344,0.2697072923
0010130.00,0010202.08,0.0950304442,0.0893913430
0010130.00,0010202.09,0.0951449377,0.0899519207
0010140.00,0010016.01,0.5277337414,0.5312573804
0010140.00,0010016.02,0.2266633982,0.2154050712
0010140.00,0010200.01,0.0735918831,0.0755692754
0010140.00,0010200.02,0.0490741503,0.0504421240
0010140.00,0010201.00,0.1229368270,0.1273261490
0010150.00,0010015.01,0.1246919237,0.1168106654
0010150.00,0010015.03,0.1277420053,0.1488665600
0010150.00,0010015.04,0.1429256087,0.1546592950
0010150.00,0010200.01,0.4368079191,0.4137621027
0010150.00,0010200.02,0.1678325431,0.1659013769
0010160.00,0010100.03,1.0000000000,1.0000000000
0010170.00,0010171.00,0.6104286552,0.6183646576
0010170.00,0010172.02,0.0800618378,0.0847185174
0010170.00,0010172.03,0.3041373845,0.2911239815
0010170.00,0010172.06,0.0053721225,0.0057928435
0010180.00,0010015.04,1.0000000000,1.0000000000
0010200.00,0010200.02,0.5605421657,0.5362163009
0010200.00,0010200.03,0.1471165528,0.1483490929
0010200.00,0010201.00,0.2923412815,0.3154346063
0010210.00,0010200.03,1.0000000000,1.0000000000
0010300.00,-1,0.0000000001,0.0000000001
0010300.00,0010017.00,0.1812361884,0.1786753297
0010300.00,0010300.01,0.1636145327,0.1744898673
0010300.00,0010300.02,0.0909198015,0.0968218769
0010300.00,0010301.01,0.2774669361,0.2770845563
0010300.00,0010301.02,0.1734110509,0.1681399726
0010300.00,0010302.00,0.1128317618,0.1042420790
0010300.00,0010400.00,0.0005197286,0.0005463182
0010310.00,0010302.00,1.0000000000,1.0000000000
2050001.00,2050001.00,1.0000000000,1.0000000000
2050002.00,2050002.00,1.0000000000,1.0000000000
