source_ctuid,target_ctuid,w_area
4620262.00,4620262.00,1.0000000000
4620265.00,4620265.00,1.0000000000
4620266.00,4620266.00,1.0000000000
4620267.00,4620267.00,1.0000000000
4620268.00,4620268.00,1.0000000000
4620269.00,4620269.00,1.0000000000
4620270.00,4620270.00,1.0000000000
4620271.00,4620271.00,1.0000000000
4620272.00,4620118.00,0.0978511377
4620272.00,4620272.00,0.9021488623
4620273.00,4620273.00,1.0000000000
4620274.00,4620274.00,1.0000000000
4620275.00,4620275.00,1.0000000000
4620276.00,4620276.00,1.0000000000
4620277.00,4620277.00,1.0000000000
4620278.00,4620278.00,1.0000000000
4620279.00,4620279.00,1.0000000000
4620280.00,4620280.00,1.0000000000
4620281.00,4620281.00,1.0000000000
4620282.00,4620282.00,1.0000000000
4620283.00,4620283.00,1.0000000000
4620284.00,4620284.00,1.0000000000
4620285.00,4620285.00,1.0000000000
4620286.00,4620286.00,1.0000000000
4620287.00,4620287.00,1.0000000000
4620288.00,4620288.00,1.0000000000
4620289.00,4620289.00,1.0000000000
4620290.00,4620290.00,1.0000000000
4620291.00,4620291.00,1.0000000000
4620292.00,4620292.00,1.0000000000
4620293.00,4620293.00,1.0000000000
4620294.00,4620294.00,1.0000000000
4620295.00,4620295.00,1.0000000000
4620296.00,4620296.00,1.0000000000
4620297.00,4620297.00,1.0000000000
4620301.00,4620301.00,1.0000000000
4620302.00,4620302.00,1.0000000000
4620303.00,4620303.00,1.0000000000
4620304.00,4620304.00,1.0000000000
4620305.00,4620305.00,1.0000000000
4620306.00,4620306.00,1.0000000000
4620307.00,4620307.00,1.0000000000
4620308.00,4620308.00,1.0000000000
4620309.00,4620309.00,1.0000000000
4620310.00,4620310.00,1.0000000000
4620311.00,4620311.00,1.0000000000
4620312.00,4620312.00,1.0000000000
4620313.00,4620313.00,1.0000000000
4620314.00,4620314.00,1.0000000000
4620315.00,4620315.00,1.0000000000
4620316.00,4620316.00,1.0000000000
4620317.00,4620318.00,1.0000000000
4620318.00,4620318.00,1.0000000000
4620319.00,4620319.00,1.0000000000
4620320.00,4620320.00,1.0000000000
4620321.00,4620255.00,0.2943430363
4620321.00,4620321.00,0.7056569637
4620324.00,4620324.00,0.7104956096
4620324.00,4620325.00,0.2895043904
4620326.00,4620326.00,1.0000000000
4620327.00,4620327.00,1.0000000000
4620328.00,4620323.00,0.7412863894
4620328.00,4620328.00,0.2587136106
4620329.00,4620329.00,1.0000000000
4620330.00,4620322.00,0.4476606181
4620330.00,4620330.00,0.5523393819
