source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,1.0,1.0
0010002.00,0010002.00,1.0,1.0
0010003.01,0010003.01,1.0,1.0
0010003.02,0010003.02,1.0,1.0
0010004.00,0010004.01,0.47764968,0.50707092
0010004.00,0010004.02,0.52235032,0.49292908
0010005.01,0010005.01,1.0,1.0
0010005.02,0010005.02,1.0,1.0
0010006.00,0010006.00,1.0,1.0
0010007.00,0010007.00,1.0,1.0
0010008.00,0010008.00,1.0,1.0
0010009.00,0010009.00,1.0,1.0
0010010.00,0010010.00,1.0,1.0
0010011.00,0010011.00,1.0,1.0
0010012.00,0010012.00,1.0,1.0
0010013.00,0010013.00,1.0,1.0
0010014.00,0010014.00,1.0,1.0
0010015.01,0010015.01,1.0,1.0
0010015.02,0010015.02,1.0,1.0
0010015.03,0010015.03,1.0,1.0
0010015.04,0010015.04,1.0,1.0
0010016.01,0010016.01,1.0,1.0
0010016.02,0010016.02,1.0,1.0
0010017.00,0010017.00,1.0,1.0
0010100.01,0010100.01,1.0,1.0
0010100.03,0010100.03,1.0,1.0
0010100.04,0010100.04,1.0,1.0
0010110.00,0010110.00,1.0,1.0
0010170.01,0010170.01,1.0,1.0
0010170.02,0010170.02,1.0,1.0
0010171.00,0010171.00,1.0,1.0
0010172.02,0010172.02,1.0,1.0
0010172.03,0010172.03,1.0,1.0
0010172.04,0010172.04,1.0,1.0
0010172.05,0010172.05,1.0,1.0
0010172.06,0010172.06,1.0,1.0
0010200.01,0010200.01,1.0,1.0
0010200.02,0010200.02,1.0,1.0
0010200.03,0010200.03,1.0,1.0
0010201.00,0010201.00,1.0,1.0
0010202.01,0010202.01,1.0,1.0
0010202.02,0010202.02,1.0,1.0
0010202.04,0010202.06,0.47179637,0.4426269
0010202.04,0010202.07,0.52820363,0.5573731
0010202.05,0010202.08,0.31747923,0.31453322
0010202.05,0010202.09,0.20766052,0.21281843
0010202.05,0010202.10,0.47486025,0.47264835
0010300.00,0010300.01,0.60427694,0.6242372
0010300.00,0010300.02,0.39572306,0.3757628
0010301.01,0010301.01,1.0,1.0
0010301.02,0010301.02,1.0,1.0
0010302.00,0010302.00,0.99983846,0.99984285
0010302.00,0010400.00,0.00016154,0.00015715
2050001.00,2050001.00,1.0,1.0
2050002.00,2050002.00,1.0,1.0
2050003.00,2050003.00,1.0,1.0
2050004.01,2050004.01,1.0,1.0
2050004.02,2050004.02,1.0,1.0
2050005.00,2050005.00,1.0,1.0
2050006.00,2050006.00,1.0,1.0
2050007.00,2050007.00,1.0,1.0
2050008.00,2050008.00,1.0,1.0
2050009.00,2050009.00,1.0,1.0
2050010.00,2050010.00,1.0,1.0
2050011.00,2050011.00,1.0,1.0
2050012.00,2050012.00,1.0,1.0
2050013.00,2050013.00,1.0,1.0
2050014.00,2050014.00,1.0,1.0
2050015.00,2050015.00,1.0,1.0
2050016.00,2050016.00,1.0,1.0
2050017.00,2050017.00,1.0,1.0
2050018.00,2050018.00,1.0,1.0
2050019.00,2050019.00,1.0,1.0
2050020.00,2050020.00,1.0,1.0
2050021.00,2050021.00,1.0,1.0
2050022.00,2050022.00,1.0,1.0
2050023.00,2050023.00,1.0,1.0
2050024.00,2050024.00,1.0,1.0
2050025.01,2050025.01,1.0,1.0
2050025.02,2050025.02,1.0,1.0
2050025.03,2050025.04,0.56911877,0.55785049
2050025.03,2050025.05,0.43088123,0.44214951
2050026.02,2050026.02,1.0,1.0
2050026.03,2050026.03,1.0,1.0
2050026.04,2050026.04,1.0,1.0
2050026.05,2050026.05,1.0,1.0
2050027.00,2050027.00,1.0,1.0
2050100.00,2050100.00,1.0,1.0
2050101.00,2050101.00,1.0,1.0
2050102.00,2050102.00,1.0,1.0
2050103.00,2050103.00,1.0,1.0
2050104.01,2050104.01,1.0,1.0
2050104.02,2050104.03,0.38810108,0.37494203
2050104.02,2050104.04,0.29911636,0.29388909
2050104.02,2050104.05,0.31278257,0.33116887
2050105.01,2050105.01,1.0,1.0
2050105.02,2050105.02,1.0,1.0
2050106.01,2050106.01,1.0,1.0
2050106.02,2050106.02,1.0,1.0
2050107.00,2050107.00,1.0,1.0
2050108.00,2050108.00,1.0,1.0
2050109.00,2050109.00,1.0,1.0
2050110.00,2050110.00,1.0,1.0
2050111.00,2050111.00,1.0,1.0
2050112.00,2050112.00,1.0,1.0
2050113.00,2050113.00,1.0,1.0
2050114.00,2050114.00,1.0,1.0
2050120.00,2050120.00,1.0,1.0
2050121.02,2050121.02,1.0,1.0
2050121.03,2050121.03,1.0,1.0
2050121.05,2050121.05,1.0,1.0
2050121.06,2050121.06,1.0,1.0
2050121.08,2050121.08,1.0,1.0
2050121.09,2050121.09,1.0,1.0
2050121.10,2050121.10,1.0,1.0
2050122.01,2050122.01,1.0,1.0
2050122.03,2050122.03,1.0,1.0
2050122.04,2050122.04,1.0,1.0
2050122.05,2050122.05,1.0,1.0
2050123.01,2050123.01,1.0,1.0
2050123.02,2050123.02,1.0,1.0
2050123.04,-1,0.0,0.0
2050123.04,2050123.07,0.38963364,0.44269761
2050123.04,2050123.08,0.25247022,0.23539751
2050123.04,2050123.09,0.35789615,0.32190487
2050123.05,2050123.05,1.0,1.0
2050123.06,2050123.06,1.0,1.0
2050130.03,2050130.03,1.0,1.0
2050130.04,2050130.04,1.0,1.0
2050130.05,2050130.09,1.0,1.0
2050130.06,2050130.07,0.34126378,0.36067956
2050130.06,2050130.08,0.29877951,0.27976551
2050130.06,2050130.09,0.35995669,0.3595549
2050130.06,2050202.00,3e-08,3e-08
2050131.01,2050131.01,1.0,1.0
2050131.02,2050131.02,1.0,1.0
2050131.03,2050131.03,1.0,1.0
2050131.04,2050131.04,1.0,1.0
2050131.05,2050131.05,1.0,1.0
2050132.03,2050132.03,1.0,1.0
2050132.04,2050132.04,0.99999989,0.99999989
2050132.04,2050202.00,1.1e-07,1.1e-07
2050132.06,2050132.06,1.0,1.0
2050132.07,2050132.07,1.0,1.0
2050132.07,2050202.00,0.0,0.0
2050132.09,2050132.09,1.0,1.0
2050132.10,2050132.10,1.0,1.0
2050140.00,-1,0.0,0.0
2050140.00,2050140.00,1.0,1.0
2050141.00,2050141.00,1.0,1.0
2050142.01,2050142.01,1.0,1.0
2050142.02,2050142.02,1.0,1.0
2050143.01,2050143.01,1.0,1.0
2050143.02,2050143.02,1.0,1.0
2050150.01,2050150.01,1.0,1.0
2050150.02,2050150.02,1.0,1.0
2050151.00,2050151.00,1.0,1.0
2050152.00,2050152.00,1.0,1.0
2050153.00,-1,0.0,0.0
2050153.00,2050153.00,1.0,1.0
2050154.01,2050154.01,1.0,1.0
2050154.03,2050154.03,1.0,1.0
2050154.04,-1,0.0,0.0
2050154.04,2050154.04,1.0,1.0
2050155.00,-1,0.0,0.0
2050155.00,2050155.00,1.0,1.0
3050001.00,-1,0.0,0.0
3050001.00,3050001.00,1.0,1.0
3050002.00,3050002.00,1.0,1.0
3050003.01,-1,0.0,0.0
3050003.01,3050003.01,1.0,1.0
3050003.03,3050003.05,0.16987229,0.16596097
3050003.03,3050003.06,0.83012771,0.83403903
3050003.04,3050003.04,1.0,1.0
3050004.00,3050004.01,0.41468655,0.38869563
3050004.00,3050004.02,0.58531345,0.61130437
3050005.00,3050005.00,1.0,1.0
3050006.00,3050006.00,1.0,1.0
3050007.00,3050007.00,1.0,1.0
3050008.00,3050008.00,1.0,1.0
3050009.00,3050009.00,1.0,1.0
3050010.01,3050010.01,1.0,1.0
3050010.02,3050010.03,0.83375958,0.81280445
3050010.02,3050010.04,0.16624042,0.18719555
3050011.00,3050011.00,1.0,1.0
3050012.00,3050012.01,0.55342401,0.60718923
3050012.00,3050012.02,0.44657599,0.39281077
3050013.00,3050013.00,1.0,1.0
3050014.02,-1,0.0,0.0
3050014.02,3050014.02,1.0,1.0
3050014.03,3050014.03,1.0,1.0
3050014.04,3050014.05,0.50532938,0.53218147
3050014.04,3050014.06,0.39638701,0.37571469
3050014.04,3050014.07,0.09828361,0.09210384
3050015.01,3050015.01,1.0,1.0
3050015.02,-1,0.0,0.0
3050015.02,3050015.02,1.0,1.0
3050016.01,3050016.01,1.0,1.0
3050016.02,-1,0.0,0.0
3050016.02,3050016.02,1.0,1.0
3050100.00,-1,0.0,0.0
3050100.00,3050100.00,1.0,1.0
3050101.00,-1,0.0,0.0
3050101.00,3050101.00,1.0,1.0
3050102.01,3050102.01,1.0,1.0
3050102.02,-1,0.0,0.0
3050102.02,3050102.02,1.0,1.0
3050110.00,3050110.00,1.0,1.0
3050120.00,-1,0.0,0.0
3050120.00,3050120.00,1.0,1.0
3050200.00,3050200.00,1.0,1.0
3100001.01,-1,0.0,0.0
3100001.01,3100001.01,1.0,1.0
3100001.02,3100001.02,1.0,1.0
3100002.01,3100002.01,1.0,1.0
3100002.02,3100002.02,1.0,1.0
3100003.00,3100003.00,1.0,1.0
3100004.00,3100004.00,1.0,1.0
3100005.00,3100005.00,1.0,1.0
3100006.00,3100006.00,1.0,1.0
3100007.00,3100007.00,1.0,1.0
3100008.00,3100008.00,1.0,1.0
3100009.00,3100009.00,1.0,1.0
3100010.00,3100010.00,1.0,1.0
3100011.00,3100011.00,1.0,1.0
3100012.00,3100012.00,1.0,1.0
3100013.00,3100013.00,1.0,1.0
3100014.00,3100014.00,1.0,1.0
3100015.00,3100015.00,1.0,1.0
3100016.00,3100016.00,1.0,1.0
3100017.00,3100017.00,1.0,1.0
3100018.00,3100018.00,1.0,1.0
3100019.00,3100019.00,1.0,1.0
3100020.00,3100020.00,1.0,1.0
3100021.00,3100021.00,1.0,1.0
3100022.00,3100022.00,1.0,1.0
3100023.00,3100023.00,1.0,1.0
3100024.00,3100024.00,1.0,1.0
3100025.01,3100025.01,1.0,1.0
3100025.02,3100025.02,1.0,1.0
3100026.00,-1,0.0,0.0
3100026.00,3100026.00,1.0,1.0
3100027.01,3100027.01,1.0,1.0
3100027.02,3100027.02,1.0,1.0
3100028.00,3100028.00,1.0,1.0
3100029.00,3100029.00,1.0,1.0
3100100.01,3100100.01,1.0,1.0
3100100.03,3100100.03,1.0,1.0
3100100.04,-1,0.0,0.0
3100100.04,3100100.04,1.0,1.0
3100101.00,-1,0.0,0.0
3100101.00,3100101.00,1.0,1.0
3100102.00,3100102.00,1.0,1.0
3100110.01,3100110.01,1.0,1.0
3100110.02,3100110.02,1.0,1.0
3100111.00,3100111.00,1.0,1.0
3100112.00,3100112.00,1.0,1.0
3100120.02,3100120.02,1.0,1.0
3100120.03,3100120.03,1.0,1.0
3100120.04,3100120.05,0.42281827,0.39901451
3100120.04,3100120.06,0.57718173,0.60098549
3100130.01,3100130.01,1.0,1.0
3100130.03,3100130.03,1.0,1.0
3100130.04,3100130.04,1.0,1.0
3100131.01,3100131.01,1.0,1.0
3100131.02,3100131.02,1.0,1.0
3100140.00,3100140.00,1.0,1.0
3200001.00,3200001.00,1.0,1.0
