source_ctuid,target_ctuid,w_pop,w_dwe
0010001.00,0010001.00,1.0,1.0
0010002.00,0010002.00,1.0,1.0
0010003.01,0010003.01,1.0,1.0
0010003.02,0010003.02,1.0,1.0
0010004.00,0010004.01,0.4590723,0.52298078
0010004.00,0010004.02,0.5409277,0.47701922
0010005.01,0010005.01,1.0,1.0
0010005.02,0010005.02,1.0,1.0
0010006.00,0010006.00,1.0,1.0
0010007.00,0010007.00,1.0,1.0
0010008.00,0010008.00,1.0,1.0
0010009.00,0010009.00,1.0,1.0
0010010.00,0010010.00,1.0,1.0
0010011.00,0010011.00,1.0,1.0
0010012.00,0010012.00,1.0,1.0
0010013.00,0010013.00,1.0,1.0
0010014.00,0010014.00,1.0,1.0
0010015.01,0010015.01,1.0,1.0
0010015.02,0010015.02,1.0,1.0
0010015.03,0010015.03,1.0,1.0
0010015.04,0010015.04,1.0,1.0
0010016.00,0010016.01,0.37127048,0.33740586
0010016.00,0010016.02,0.62872952,0.66259414
0010017.00,0010017.00,1.0,1.0
0010100.01,0010100.01,1.0,1.0
0010100.03,0010100.03,1.0,1.0
0010100.04,0010100.04,1.0,1.0
0010110.00,0010110.00,1.0,1.0
0010170.01,0010170.01,1.0,1.0
0010170.02,0010170.02,1.0,1.0
0010171.00,0010171.00,1.0,1.0
0010172.02,0010172.02,1.0,1.0
0010172.03,0010172.03,1.0,1.0
0010172.04,0010172.04,1.0,1.0
0010172.05,0010172.05,1.0,1.0
0010172.06,0010172.06,1.0,1.0
0010200.01,0010200.01,1.0,1.0
0010200.02,0010200.02,1.0,1.0
0010200.03,0010200.03,1.0,1.0
0010201.00,0010201.00,1.0,1.0
0010202.01,0010202.01,1.0,1.0
0010202.02,0010202.02,1.0,1.0
0010202.04,0010202.06,0.46050946,0.45630874
0010202.04,0010202.07,0.53949054,0.54369126
0010202.05,0010202.08,0.24140204,0.22222738
0010202.05,0010202.09,0.25510717,0.25677588
0010202.05,0010202.10,0.50349079,0.52099674
0010300.00,0010300.01,0.60001752,0.61637618
0010300.00,0010300.02,0.39998248,0.38362382
0010301.01,0010301.01,1.0,1.0
0010301.02,0010301.02,1.0,1.0
0010302.00,0010302.00,0.99998269,0.99998203
0010302.00,0010400.00,1.731e-05,1.797e-05
2050001.00,2050001.00,1.0,1.0
2050002.00,2050002.00,1.0,1.0
2050003.00,2050003.00,1.0,1.0
2050004.01,2050004.01,1.0,1.0
2050004.02,2050004.02,1.0,1.0
2050005.00,2050005.00,1.0,1.0
2050006.00,2050006.00,1.0,1.0
2050007.00,2050007.00,1.0,1.0
2050008.00,2050008.00,1.0,1.0
2050009.00,2050009.00,1.0,1.0
2050010.00,2050010.00,1.0,1.0
2050011.00,2050011.00,1.0,1.0
2050012.00,2050012.00,1.0,1.0
2050013.00,2050013.00,1.0,1.0
2050014.00,2050014.00,1.0,1.0
2050015.00,2050015.00,1.0,1.0
2050016.00,2050016.00,1.0,1.0
2050017.00,2050017.00,1.0,1.0
2050018.00,2050018.00,1.0,1.0
2050019.00,2050019.00,1.0,1.0
2050020.00,2050020.00,1.0,1.0
2050021.00,2050021.00,1.0,1.0
2050022.00,2050022.00,1.0,1.0
2050023.00,2050023.00,1.0,1.0
2050024.00,2050024.00,1.0,1.0
2050025.01,2050025.01,1.0,1.0
2050025.02,2050025.02,1.0,1.0
2050025.03,2050025.04,0.71690848,0.70601952
2050025.03,2050025.05,0.28309152,0.29398048
2050026.01,2050026.03,0.32078013,0.30201621
2050026.01,2050026.04,0.34864332,0.37913786
2050026.01,2050026.05,0.33057655,0.31884593
2050026.02,2050026.02,1.0,1.0
2050027.00,2050027.00,1.0,1.0
2050100.00,2050100.00,1.0,1.0
2050101.00,2050101.00,1.0,1.0
2050102.00,2050102.00,1.0,1.0
2050103.00,2050103.00,1.0,1.0
2050104.01,2050104.01,1.0,1.0
2050104.02,2050104.03,0.24740569,0.23482389
2050104.02,2050104.04,0.35545715,0.36490862
2050104.02,2050104.05,0.39713716,0.40026748
2050105.01,2050105.01,1.0,1.0
2050105.02,2050105.02,1.0,1.0
2050106.01,2050106.01,1.0,1.0
2050106.02,2050106.02,1.0,1.0
2050107.00,2050107.00,1.0,1.0
2050108.00,2050108.00,1.0,1.0
2050109.00,2050109.00,1.0,1.0
2050110.00,2050110.00,1.0,1.0
2050111.00,2050111.00,1.0,1.0
2050112.00,2050112.00,1.0,1.0
2050113.00,2050113.00,1.0,1.0
2050114.00,2050114.00,1.0,1.0
2050120.00,2050120.00,1.0,1.0
2050121.02,2050121.02,1.0,1.0
2050121.03,2050121.03,1.0,1.0
2050121.05,2050121.05,1.0,1.0
2050121.06,2050121.06,1.0,1.0
2050121.07,2050121.09,0.02971484,0.04542658
2050121.07,2050121.10,0.97028516,0.95457342
2050121.08,2050121.08,1.0,1.0
2050122.01,2050122.01,1.0,1.0
2050122.02,2050122.04,0.54126061,0.5163313
2050122.02,2050122.05,0.45873939,0.4836687
2050122.03,2050122.03,1.0,1.0
2050123.01,2050123.01,1.0,1.0
2050123.02,2050123.02,1.0,1.0
2050123.04,-1,0.0,0.0
2050123.04,2050123.07,0.61420527,0.64015409
2050123.04,2050123.08,0.11740507,0.11094669
2050123.04,2050123.09,0.26838966,0.24889922
2050123.05,2050123.05,1.0,1.0
2050123.06,2050123.06,1.0,1.0
2050130.01,2050130.07,0.38064248,0.40309197
2050130.01,2050130.08,0.24697468,0.23721299
2050130.01,2050130.09,0.37235905,0.35967183
2050130.01,2050202.00,2.379e-05,2.321e-05
2050130.02,2050130.03,0.58836051,0.58551351
2050130.02,2050130.04,0.41163949,0.41448649
2050131.01,2050131.01,1.0,1.0
2050131.02,2050131.02,1.0,1.0
2050131.03,2050131.03,1.0,1.0
2050131.04,2050131.04,1.0,1.0
2050131.05,2050131.05,1.0,1.0
2050132.03,2050132.03,1.0,1.0
2050132.04,2050132.04,1.0,1.0
2050132.04,2050202.00,0.0,0.0
2050132.05,2050132.07,0.47452153,0.47452153
2050132.05,2050132.09,0.0017513,0.0017513
2050132.05,2050132.10,0.52372715,0.52372715
2050132.05,2050202.00,1e-08,1e-08
2050132.06,2050132.06,1.0,1.0
2050140.00,-1,0.0,0.0
2050140.00,2050140.00,1.0,1.0
2050141.00,2050141.00,1.0,1.0
2050142.01,2050142.01,1.0,1.0
2050142.02,2050142.02,1.0,1.0
2050143.01,2050143.01,0.8170675,0.81077656
2050143.01,2050143.02,0.1829325,0.18922344
2050143.02,2050143.02,1.0,1.0
2050150.01,2050150.01,1.0,1.0
2050150.02,2050150.02,1.0,1.0
2050151.00,2050151.00,1.0,1.0
2050152.00,2050152.00,1.0,1.0
2050153.00,-1,0.0,0.0
2050153.00,2050153.00,1.0,1.0
2050154.00,-1,0.0,0.0
2050154.00,2050154.01,0.00567896,0.00257811
2050154.00,2050154.03,0.00685115,0.0041777
2050154.00,2050154.04,0.9874699,0.9932442
2050155.00,-1,0.0,0.0
2050155.00,2050155.00,1.0,1.0
3050001.00,-1,0.0,0.0
3050001.00,3050001.00,1.0,1.0
3050002.00,3050002.00,1.0,1.0
3050003.01,-1,0.0,0.0
3050003.01,3050003.01,1.0,1.0
3050003.03,3050003.05,0.16652136,0.16904763
3050003.03,3050003.06,0.83347864,0.83095237
3050003.04,3050003.04,1.0,1.0
3050004.00,3050004.01,0.31922544,0.29110704
3050004.00,3050004.02,0.68077456,0.70889296
3050005.00,3050005.00,1.0,1.0
3050006.00,3050006.00,1.0,1.0
3050007.00,3050007.00,1.0,1.0
3050008.00,3050008.00,1.0,1.0
3050009.00,3050009.00,1.0,1.0
3050010.01,3050010.01,1.0,1.0
3050010.02,3050010.03,0.85960312,0.83794269
3050010.02,3050010.04,0.14039688,0.16205731
3050011.00,3050011.00,1.0,1.0
3050012.00,3050012.01,0.68649049,0.72171573
3050012.00,3050012.02,0.31350951,0.27828427
3050013.00,3050013.00,1.0,1.0
3050014.01,3050014.03,0.36920472,0.36723342
3050014.01,3050014.05,0.21693827,0.24677494
3050014.01,3050014.06,0.36000257,0.33609034
3050014.01,3050014.07,0.05385445,0.0499013
3050014.02,-1,0.0,0.0
3050014.02,3050014.02,1.0,1.0
3050015.00,-1,0.0,0.0
3050015.00,3050015.01,0.00763595,0.00945595
3050015.00,3050015.02,0.99236405,0.99054405
3050016.01,3050016.01,1.0,1.0
3050016.02,-1,0.0,0.0
3050016.02,3050016.02,1.0,1.0
3050100.00,-1,0.0,0.0
3050100.00,3050100.00,0.99999994,0.9999939
3050100.00,3050120.00,6e-08,6.1e-06
3050101.00,-1,0.0,0.0
3050101.00,3050101.00,1.0,1.0
3050102.01,3050102.01,1.0,1.0
3050102.02,-1,0.0,0.0
3050102.02,3050102.02,1.0,1.0
3050110.00,3050110.00,1.0,1.0
3050200.00,3050200.00,1.0,1.0
3100001.01,3100001.01,1.0,1.0
3100001.02,3100001.02,1.0,1.0
3100002.01,3100002.01,1.0,1.0
3100002.02,3100002.02,1.0,1.0
3100003.00,3100003.00,1.0,1.0
3100004.00,3100004.00,1.0,1.0
3100005.00,3100005.00,1.0,1.0
3100006.00,3100006.00,0.8896088,0.88808864
3100006.00,3100007.00,0.1103912,0.11191136
3100007.00,3100007.00,0.9344594,0.92262939
3100007.00,3100019.00,0.0655406,0.07737061
3100008.00,3100008.00,1.0,1.0
3100009.00,3100008.00,0.11779008,0.12317349
3100009.00,3100009.00,0.88220992,0.87682651
3100010.00,3100009.00,0.12877812,0.13995434
3100010.00,3100010.00,0.87122188,0.86004566
3100011.00,3100007.00,0.05844886,0.05458939
3100011.00,3100011.00,0.94155114,0.94541061
3100012.00,3100012.00,1.0,1.0
3100013.00,3100013.00,1.0,1.0
3100014.00,3100014.00,1.0,1.0
3100015.00,3100015.00,1.0,1.0
3100016.00,3100016.00,1.0,1.0
3100017.00,3100017.00,1.0,1.0
3100018.00,3100018.00,0.90478004,0.90537272
3100018.00,3100021.00,0.09521996,0.09462728
3100019.00,3100019.00,0.55401637,0.56101837
3100019.00,3100020.00,0.36749906,0.34989361
3100019.00,3100021.00,0.07848457,0.08908803
3100020.00,3100020.00,1.0,1.0
3100021.00,3100021.00,1.0,1.0
3100022.00,3100022.00,1.0,1.0
3100023.00,3100023.00,1.0,1.0
3100024.00,3100024.00,1.0,1.0
3100025.01,3100025.01,1.0,1.0
3100025.02,3100025.02,1.0,1.0
3100026.00,3100026.00,1.0,1.0
3100027.01,3100027.01,1.0,1.0
3100027.02,3100027.02,1.0,1.0
3100028.00,3100028.00,1.0,1.0
3100029.00,3100029.00,1.0,1.0
3100100.01,3100100.01,1.0,1.0
3100100.02,3100100.03,0.62976386,0.6068039
3100100.02,3100100.04,0.37023614,0.3931961
3100101.00,-1,0.0,0.0
3100101.00,3100101.00,1.0,1.0
3100102.00,3100102.00,1.0,1.0
3100110.01,3100110.01,1.0,1.0
3100110.02,3100110.02,1.0,1.0
3100111.00,3100111.00,0.99953946,0.99956392
