source_ctuid,target_ctuid,w_area
2050001.00,2050003.00,1.0000000000
2050002.00,2050004.01,0.4613186569
2050002.00,2050004.02,0.5386813431
2050003.00,2050008.00,1.0000000000
2050004.00,2050009.00,1.0000000000
2050005.00,2050010.00,1.0000000000
2050006.00,2050020.00,1.0000000000
2050007.00,2050021.00,1.0000000000
2050008.00,2050022.00,1.0000000000
2050009.00,2050005.00,1.0000000000
2050010.00,2050006.00,1.0000000000
2050011.00,2050012.00,1.0000000000
2050012.00,2050011.00,1.0000000000
2050013.00,2050007.00,1.0000000000
2050014.00,2050019.00,1.0000000000
2050015.00,2050013.00,1.0000000000
2050016.00,2050018.00,1.0000000000
2050017.00,2050023.00,1.0000000000
2050018.00,2050101.00,0.3594400840
2050018.00,2050102.00,0.5055241186
2050018.00,2050103.00,0.1350357974
2050019.00,2050108.00,0.4582826891
2050019.00,2050109.00,0.5417173109
2050020.00,2050110.00,0.4751337374
2050020.00,2050111.00,0.5248662626
2050400.00,2050001.00,0.1814630072
2050400.00,2050002.00,0.3221913412
2050400.00,2050014.00,0.1733828126
2050400.00,2050015.00,0.1612989567
2050400.00,2050120.00,0.1616638823
2050401.00,2050016.00,0.1962782561
2050401.00,2050017.00,0.4448102849
2050401.00,2050024.00,0.3589114590
2050402.00,2050025.01,0.0991003084
2050402.00,2050025.02,0.2089355833
2050402.00,2050025.04,0.0090360391
2050402.00,2050026.02,0.1305221477
2050402.00,2050026.03,0.0993703836
2050402.00,2050026.04,0.0008385083
2050402.00,2050027.00,0.1192885850
2050402.00,2050123.05,0.0928178330
2050402.00,2050123.06,0.0297770320
2050402.00,2050123.07,0.1590974643
2050402.00,2050123.08,0.0155174512
2050402.00,2050123.09,0.0000000001
2050402.00,2050131.03,0.0000757424
2050402.00,2050132.06,0.0344679442
2050402.00,2050142.02,0.0011549777
2050403.00,2050103.00,0.0508318806
2050403.00,2050104.01,0.0478723743
2050403.00,2050104.04,0.0000735454
2050403.00,2050105.01,0.0505362240
2050403.00,2050105.02,0.0540435303
2050403.00,2050106.01,0.0611927833
2050403.00,2050106.02,0.0817413641
2050403.00,2050107.00,0.0618704215
2050403.00,2050112.00,0.0603817834
2050403.00,2050113.00,0.0782343952
2050403.00,2050114.00,0.1100499384
2050403.00,2050121.10,0.0000049788
2050403.00,2050122.01,0.0106064940
2050403.00,2050122.03,0.0604409780
2050403.00,2050122.04,0.0220510410
2050403.00,2050122.05,0.0110445798
2050403.00,2050123.01,0.0518775986
2050403.00,2050123.02,0.1707585099
2050403.00,2050130.03,0.0004648402
2050403.00,2050130.04,0.0027686269
2050403.00,2050131.03,0.0000195321
2050403.00,2050131.04,0.0078792057
2050403.00,2050131.05,0.0000308325
2050403.00,2050132.06,0.0052245418
2050404.00,2050104.04,0.0191515419
2050404.00,2050121.02,0.0488908845
2050404.00,2050121.03,0.0554233006
2050404.00,2050121.05,0.5668347283
2050404.00,2050121.06,0.2422315683
2050404.00,2050121.08,0.0294593302
2050404.00,2050121.09,0.0033697409
2050404.00,2050121.10,0.0346389052
2050405.00,2050100.00,0.8148856336
2050405.00,2050103.00,0.0625381763
2050405.00,2050104.03,0.0765532934
2050405.00,2050104.05,0.0460228966
3100001.00,3100006.00,0.9376329210
3100001.00,3100007.00,0.0623670790
3100002.00,3100011.00,1.0000000000
3100003.00,3100008.00,1.0000000000
3100004.00,3100008.00,0.1131496310
3100004.00,3100009.00,0.8868503690
3100005.00,3100010.00,1.0000000000
3100006.00,3100007.00,0.8429163036
3100006.00,3100019.00,0.1570836964
3100007.00,3100019.00,0.8693344368
3100007.00,3100020.00,0.1306655632
3100008.00,3100005.00,1.0000000000
3100009.00,3100020.00,0.8569134509
3100009.00,3100027.02,0.1430865491
3100010.00,3100020.00,0.9381189937
3100010.00,3100021.00,0.0618810063
3100011.00,3100021.00,1.0000000000
3100012.00,3100018.00,1.0000000000
3100013.00,3100022.00,1.0000000000
3100014.00,3100023.00,1.0000000000
3100015.00,3100017.00,1.0000000000
3100016.00,3100013.00,1.0000000000
3100017.00,3100012.00,1.0000000000
3100017.50,3100021.00,0.1030311731
3100017.50,3100022.00,0.0565227904
3100017.50,3100024.00,0.2313458539
3100017.50,3100027.01,0.2539786944
3100017.50,3100027.02,0.3551214882
3100018.00,3100014.00,1.0000000000
3100019.00,3100016.00,1.0000000000
3100020.00,3100014.00,0.1512250341
3100020.00,3100015.00,0.8487749659
3100020.50,3100025.01,0.3862799783
3100020.50,3100025.02,0.2293309138
3100020.50,3100026.00,0.3843891079
3100021.00,3100002.02,0.0764458913
3100021.00,3100004.00,0.9235541087
3100022.00,3100003.00,1.0000000000
3100022.50,3100001.01,0.1768430578
3100022.50,3100001.02,0.2351292275
3100022.50,3100002.01,0.0939228667
3100022.50,3100002.02,0.1108197921
3100022.50,3100028.00,0.1186922202
3100022.50,3100029.00,0.2389774333
3100022.50,3100130.04,0.0256154024
3100400.00,3100110.01,0.3128381341
3100400.00,3100110.02,0.2741898788
3100400.00,3100111.00,0.0002015658
3100400.00,3100120.02,0.2659405556
3100400.00,3100120.03,0.0116403652
3100400.00,3100120.05,0.0195053458
3100400.00,3100120.06,0.1144209482
3100400.00,3100130.03,0.0012632065
3100401.00,3100110.01,0.9995884555
3100401.00,3100111.00,0.0004115445
3100402.00,3100100.01,0.8373320542
3100402.00,3100100.03,0.1626679458
3100402.00,3100100.04,0.0000000001
4210001.00,4210004.00,1.0000000000
4210002.00,4210025.00,1.0000000000
4210003.00,4210024.00,0.8054376806
4210003.00,4210025.00,0.1945623194
4210004.00,4210016.00,1.0000000000
4210005.00,4210017.00,1.0000000000
4210006.00,4210018.00,1.0000000000
4210007.00,4210019.00,1.0000000000
4210008.00,4210014.00,1.0000000000
4210009.00,4210015.00,1.0000000000
4210010.00,4210006.00,1.0000000000
4210011.00,4210005.00,1.0000000000
4210012.00,4210003.00,1.0000000000
4210013.00,4210001.01,0.6359896942
4210013.00,4210001.02,0.3640103058
4210014.00,4210002.00,1.0000000000
4210015.00,4210009.00,1.0000000000
4210016.00,4210008.00,1.0000000000
4210017.00,4210007.00,1.0000000000
4210018.00,4210010.00,0.8150372850
4210018.00,4210032.00,0.1849627150
4210019.00,4210012.00,1.0000000000
4210020.00,4210011.00,1.0000000000
4210021.00,4210013.00,1.0000000000
4210022.00,4210020.00,1.0000000000
4210023.00,4210023.00,0.9104720420
4210023.00,4210024.00,0.0895279580
4210024.00,4210022.00,1.0000000000
4210025.00,4210021.00,0.8528821219
4210025.00,4210022.00,0.1471178781
4210026.00,4210031.00,1.0000000000
4210027.00,4210031.00,0.0687410058
4210027.00,4210032.00,0.9312589942
4210028.00,4210029.00,1.0000000000
4210029.00,4210028.00,1.0000000000
4210030.00,4210027.00,1.0000000000
4210031.00,4210030.00,1.0000000000
4210032.00,4210035.00,0.7951820493
4210032.00,4210036.00,0.2048179507
4210033.00,4210036.00,1.0000000000
4210034.00,4210033.01,0.3767033322
4210034.00,4210033.02,0.2600893805
4210034.00,4210034.00,0.3632072873
4210035.00,4210026.00,0.4532820434
4210035.00,4210037.00,0.2637130535
4210035.00,4210038.01,0.1218605177
4210035.00,4210038.02,0.1611443854
4210150.00,4210160.04,0.9513303626
4210150.00,4210160.05,0.0486696374
4210400.00,4210100.00,0.2718405979
4210400.00,4210101.00,0.4051950542
4210400.00,4210102.00,0.0538747999
4210400.00,4210103.00,0.2690895480
4210401.00,4210110.00,0.0807328637
4210401.00,4210111.00,0.1031255111
4210401.00,4210112.01,0.0853709411
4210401.00,4210112.02,0.0327058425
4210401.00,4210113.01,0.0390455134
4210401.00,4210113.02,0.0502546251
4210401.00,4210114.00,0.0749952856
4210401.00,4210115.00,0.1140596168
4210401.00,4210116.01,0.0906639440
4210401.00,4210116.02,0.0690272143
4210401.00,4210117.01,0.1050768009
4210401.00,4210117.02,0.0426860724
4210401.00,4210118.00,0.1122557691
4210402.00,4210002.00,0.0471674867
4210402.00,4210039.01,0.0453005846
4210402.00,4210040.01,0.3463090530
4210402.00,4210040.04,0.3970173678
4210402.00,4210040.05,0.0192813570
4210402.00,4210040.06,0.1318790377
4210402.00,4210041.10,0.0003516366
4210402.00,4210041.11,0.0126934768
4210403.00,4210260.01,0.2636991459
4210403.00,4210260.02,0.2498077315
4210403.00,4210260.03,0.4864931226
4210404.00,4210270.01,0.1293797912
4210404.00,4210270.03,0.0128151708
4210404.00,4210270.04,0.0782526990
4210404.00,4210271.01,0.1579209196
4210404.00,4210271.02,0.1527147975
4210404.00,4210272.00,0.0864831903
4210404.00,4210273.01,0.0608476291
4210404.00,4210273.02,0.0969693497
4210404.00,4210273.03,0.0856248207
4210404.00,4210273.04,0.1389916321
4210405.00,4210040.05,0.0000443358
4210405.00,4210041.10,0.0000213201
4210405.00,4210220.03,0.0150949723
4210405.00,4210220.04,0.0065955869
4210405.00,4210240.02,0.1119136091
4210405.00,4210240.03,0.3150263824
4210405.00,4210240.04,0.0125409570
4210405.00,4210270.03,0.0000998049
4210405.00,4210273.01,0.0506280513
4210405.00,4210280.01,0.1257655300
4210405.00,4210280.02,0.1454961222
4210405.00,4210280.03,0.2167733280
4210406.00,4210290.01,0.1007106439
4210406.00,4210290.03,0.4903803465
4210406.00,4210290.05,0.2551413963
4210406.00,4210290.06,0.1537676132
4210407.00,4210300.00,0.8196137177
4210407.00,4210311.02,0.1803862823
4210408.00,4210026.00,0.0464902511
4210408.00,4210300.00,0.2169889726
4210408.00,4210310.00,0.1946148953
4210408.00,4210311.01,0.4229322823
4210408.00,4210311.02,0.1189735986
4210409.00,4210320.02,0.2438762195
4210409.00,4210320.04,0.2152092469
4210409.00,4210320.09,0.0559174190
4210409.00,4210320.10,0.4849971147
4210410.00,4210320.02,0.1042733868
4210410.00,4210320.03,0.0827841360
4210410.00,4210320.09,0.5059613259
4210410.00,4210320.10,0.1879768423
4210410.00,4210340.03,0.1190043090
4210411.00,4210320.02,0.1023355966
4210411.00,4210320.03,0.0944442886
4210411.00,4210320.04,0.0508636940
4210411.00,4210320.05,0.0668692807
4210411.00,4210320.07,0.1858874226
4210411.00,4210320.08,0.1092924778
4210411.00,4210360.02,0.3903072396
4210412.00,4210320.03,0.0593526245
4210412.00,4210340.03,0.2467546897
4210412.00,4210360.01,0.6938926858
4210413.00,4210800.01,0.1998658369
4210413.00,4210800.02,0.3014655855
4210413.00,4210801.00,0.2374724969
4210413.00,4210802.00,0.2611936546
4210413.00,4210825.00,0.0000024261
4210414.00,4210810.00,0.2243961388
4210414.00,4210811.00,0.4524354321
4210414.00,4210812.00,0.2098907330
4210414.00,4210820.01,0.1132776961
4210415.00,4210820.01,0.7680797342
4210415.00,4210820.03,0.1278008162
4210415.00,4210820.04,0.1041194496
4210416.00,4210820.04,1.0000000000
4210417.00,4210830.01,0.6501770084
4210417.00,4210830.02,0.2896515617
4210417.00,4210835.06,0.0022638937
4210417.00,4210840.02,0.0579075361
4210418.00,4210835.06,0.0010810327
4210418.00,4210835.07,0.0000434722
4210418.00,4210840.01,0.5304482589
4210418.00,4210840.02,0.4684255695
4210418.00,4210846.03,0.0000016668
4210419.00,4210850.02,0.0001225406
4210419.00,4210850.03,0.5044504851
4210419.00,4210850.04,0.2365490158
4210419.00,4210850.05,0.2588779585
4210420.00,4210119.06,0.0000423337
4210420.00,4210120.01,0.3196464134
4210420.00,4210120.02,0.4133989435
4210420.00,4210120.03,0.2643656372
4210420.00,4210600.05,0.0000160872
4210420.00,4210600.06,0.0025305850
4210421.00,4210041.04,0.2830380740
4210421.00,4210041.06,0.1464582488
4210421.00,4210041.07,0.0764821661
4210421.00,4210041.08,0.1373166840
4210421.00,4210041.09,0.0663594238
4210421.00,4210041.10,0.0048973790
4210421.00,4210041.11,0.0014026203
4210421.00,4210041.12,0.1737293642
4210421.00,4210041.13,0.0475836371
4210421.00,4210170.04,0.0002416104
4210421.00,4210170.05,0.0003770636
4210421.00,4210230.01,0.0007297163
4210421.00,4210240.03,0.0612776322
4210421.00,4210240.04,0.0001063801
4210422.00,4210160.01,0.2982196102
4210422.00,4210160.03,0.4773067328
4210422.00,4210160.05,0.2244736569
4210423.00,4210041.03,0.1449448011
4210423.00,4210160.03,0.2365187443
4210423.00,4210160.05,0.6185364546
4210424.00,4210039.01,0.2560732508
4210424.00,4210039.02,0.1075389296
4210424.00,4210119.02,0.3942704822
4210424.00,4210119.04,0.1070657694
4210424.00,4210119.05,0.0942775754
4210424.00,4210119.06,0.0378747414
4210424.00,4210170.03,0.0028303032
4210424.00,4210600.05,0.0000689481
4210425.00,4210039.01,0.0484013868
4210425.00,4210140.01,0.2510948625
4210425.00,4210140.02,0.3775871308
4210425.00,4210140.03,0.3229166200
4210426.00,4210340.01,0.4255920542
4210426.00,4210340.02,0.5744079458
4210427.00,4210330.00,1.0000000000
4620001.00,4620066.01,0.5850184979
4620001.00,4620066.02,0.4149815021
4620002.00,4620065.01,0.4656317240
4620002.00,4620065.02,0.5343682760
4620003.00,4620064.00,1.0000000000
4620004.00,4620063.00,1.0000000000
4620005.00,4620062.00,1.0000000000
4620006.00,4620130.00,1.0000000000
4620007.00,4620131.00,1.0000000000
4620008.00,4620132.00,1.0000000000
4620009.00,4620055.01,0.5743356220
4620009.00,4620055.02,0.3609857300
4620009.00,4620071.00,0.0646786480
4620010.00,4620069.02,0.0439674166
4620010.00,4620070.01,0.3767355207
4620010.00,4620070.02,0.5025629118
4620010.00,4620071.00,0.0767341508
4620011.00,4620069.01,0.5966650177
4620011.00,4620069.02,0.4033349823
4620012.00,4620077.00,1.0000000000
4620013.00,4620066.01,0.0595358741
4620013.00,4620068.00,0.8127528416
4620013.00,4620077.00,0.1277112843
4620014.00,4620078.00,1.0000000000
4620015.00,4620066.02,0.0836409204
4620015.00,4620067.00,0.7424457474
4620015.00,4620078.00,0.1739133322
4620016.00,4620079.00,0.1863624206
4620016.00,4620080.00,0.8136375794
4620017.00,4620079.00,1.0000000000
4620018.00,4620079.00,0.1403678689
4620018.00,4620081.00,0.8596321311
4620019.00,4620083.00,1.0000000000
4620020.00,4620082.00,0.9005920827
4620020.00,4620352.00,0.0994079173
4620021.00,4620084.00,0.9300259435
4620021.00,4620094.02,0.0699740565
4620022.00,4620055.02,0.1265336872
4620022.00,4620071.00,0.8734663128
4620023.00,4620073.00,1.0000000000
4620024.00,4620076.00,0.8988559836
4620024.00,4620085.00,0.1011440164
4620025.00,4620075.00,1.0000000000
4620026.00,4620074.00,0.9426059746
4620026.00,4620085.00,0.0573940254
4620027.00,4620072.00,1.0000000000
4620028.00,4620085.00,1.0000000000
4620029.00,4620087.00,1.0000000000
4620030.00,4620086.00,1.0000000000
4620031.00,4620088.00,1.0000000000
4620032.00,4620093.00,1.0000000000
4620033.00,4620092.00,1.0000000000
4620034.00,4620089.00,0.1968319757
4620034.00,4620090.00,0.1791495609
4620034.00,4620091.00,0.6240184635
4620035.00,4620108.00,1.0000000000
4620036.00,4620095.00,0.8883290164
4620036.00,4620096.00,0.1116709836
4620037.00,4620106.00,0.5999396558
4620037.00,4620107.00,0.4000603442
4620038.00,4620105.00,1.0000000000
4620039.00,4620104.00,1.0000000000
4620040.00,4620096.00,1.0000000000
4620041.00,4620097.01,0.4206076184
4620041.00,4620097.02,0.5793923816
4620042.00,4620103.00,1.0000000000
4620043.00,4620102.00,1.0000000000
4620044.00,4620098.00,0.3174012954
4620044.00,4620099.00,0.2080964102
4620044.00,4620100.01,0.1406070759
4620044.00,4620100.02,0.1103320969
4620044.00,4620101.01,0.1151106265
4620044.00,4620101.02,0.1084524952
4620045.00,4620094.01,0.4896418743
4620045.00,4620094.02,0.5103581257
4620046.00,4620110.00,1.0000000000
4620047.00,4620111.00,1.0000000000
4620048.00,4620112.01,0.1641187235
4620048.00,4620112.02,0.1122339584
4620048.00,4620116.00,0.2943930369
4620048.00,4620117.00,0.1281704441
4620048.00,4620118.00,0.1236907092
4620048.00,4620119.00,0.1773931280
4620049.00,4620113.00,1.0000000000
4620050.00,4620109.00,1.0000000000
